nTot =,4425,,binMid (?),"n_res,bin",n_bin,"p_res,bin (DATA)",p_z_1 (FIT),SqLgDif Err 1,p_z_2 (FIT),SqLgDif Err 2,,z,Pz_Outer,Pz_Inner
nRes=,330.4733492,,-22.5,2.089964514,37.14630579,0.7534,0.863391281,0.003502514,0.804186176,0.000802645,,-24,0.862471904,0.80053806
,,,-21,2.603578827,53.38306721,0.653,0.864607879,0.014861075,0.80860972,0.008616625,,-23,0.863056668,0.802893382
Paq_1,0.858488616,,-19.5,6.833176425,104.6734919,0.8741,0.86624912,1.53532E-05,0.814039376,0.000955781,,-22,0.863758577,0.80556463
?E0_1,-0.341236244,,-18,11.47259318,171.1190525,0.8977,0.86851236,0.000206072,0.820795838,0.001512905,,-21,0.864607879,0.80860972
zmid_1,5.424302963,,-16.5,15.21695024,239.2408502,0.8517,0.871712771,0.000101743,0.829333834,0.00013357,,-20,0.86564452,0.812100155
n_1,3.23843515,,-15,20.69261277,301.1099038,0.9202,0.876371196,0.000449191,0.840312126,0.00155564,,-19,0.866921901,0.816124944
,,,-13.5,22.38103574,325.1446914,0.9217,0.883381619,0.000340079,0.85470705,0.001074024,,-18,0.86851236,0.820795838
Paq_2,0.773598457,,-12,22.7921644,335.092151,0.9107,0.894342323,6.19613E-05,0.873999721,0.000319124,,-17,0.870515287,0.826254428
?E0_2,-0.411969833,,-10.5,22.64682757,329.7126103,0.9197,0.912229352,1.25468E-05,0.900486293,8.4072E-05,,-16,0.873069345,0.832681845
zmid_2,-5.617644478,,-9,18.02354642,284.4671655,0.8484,0.942761445,0.002097746,0.937780471,0.001892296,,-15,0.876371196,0.840312126
n_2,2.039270059,,-7.5,15.79515942,233.0137027,0.9077,0.996876854,0.001656423,0.991546954,0.00147233,,-14,0.880704657,0.849450814
,,,-6,18.89491589,229.7219923,1.1013,1.092964398,1.08875E-05,1.070175003,0.000155023,,-13,0.88648686,0.860500977
,,,-4.5,21.10300488,238.0645755,1.1869,1.246235493,0.000448846,1.183534742,1.52058E-06,,-12,0.894342323,0.873999721
,,,-3,21.54397507,209.6984556,1.3756,1.41886095,0.00018084,1.333153822,0.000185284,,-11,0.905222681,0.890669283
,,,-1.5,21.69917787,193.1250516,1.5045,1.514109267,7.64537E-06,1.484201134,3.48033E-05,,-10,0.920599176,0.911487397
,,,0,22.29647325,197.3133755,1.5131,1.527540244,1.70159E-05,1.551132108,0.000116233,,-9,0.942761445,0.937780471
,,,1.5,24.80589304,211.8728901,1.5677,1.514109267,0.000228183,1.484201134,0.000565022,,-8,0.975232766,0.971335509
,,,3,22.12663685,212.6004826,1.3936,1.41886095,6.08665E-05,1.333153822,0.000370866,,-7,1.023158703,1.014501036
,,,4.5,18.38087734,207.8261565,1.1842,1.246235493,0.000491733,1.183534742,5.95584E-08,,-6,1.092964398,1.070175003
,,,6,18.42708727,218.7038,1.1282,1.092964398,0.000189891,1.070175003,0.000525844,,-5,1.189245613,1.141403537
,,,7.5,17.16472971,210.9114221,1.0897,0.996876854,0.001495016,0.991546954,0.001680481,,-4,1.306222546,1.229983167
,,,9,15.43378182,213.7992175,0.9666,0.942761445,0.000117614,0.937780471,0.000172807,,-3,1.41886095,1.333153822
,,,10.5,13.84399828,220.6304527,0.8402,0.912229352,0.001276016,0.900486293,0.000905675,,-2,1.494445437,1.438352556
,,,12,13.90327643,225.0124392,0.8273,0.894342323,0.001145197,0.873999721,0.00056874,,-1,1.523874727,1.520405917
,,,13.5,14.17618471,218.4555713,0.8689,0.883381619,5.15317E-05,0.85470705,5.11584E-05,,0,1.527540244,1.551132108
,,,15,13.97362196,224.0327673,0.8352,0.876371196,0.00043671,0.840312126,7.02327E-06,,1,1.523874727,1.520405917
,,,16.5,14.26986271,233.7570822,0.8174,0.871712771,0.000780575,0.829333834,3.96239E-05,,2,1.494445437,1.438352556
,,,18,13.92935827,221.1424413,0.8434,0.86851236,0.000162369,0.820795838,0.000139203,,3,1.41886095,1.333153822
,,,19.5,13.52284872,203.0828409,0.8916,0.86624912,0.000156932,0.814039376,0.001562198,,4,1.306222546,1.229983167
,,,21,14.29237125,202.2358636,0.9463,0.864607879,0.001537397,0.80860972,0.004663508,,5,1.189245613,1.141403537
,,,22.5,13.1913505,185.5926587,0.9517,0.863391281,0.001788648,0.804186176,0.005349967,,6,1.092964398,1.070175003
,,,,,,,,,,,,7,1.023158703,1.014501036
,,,,,,O. Leaflet,Sqrt(Avg):,0.024919489,,,,8,0.975232766,0.971335509
,,,,,,I. Leaflet,,,Sqrt(Avg):,0.034380113,,9,0.942761445,0.937780471
,,,,,,,,,,,,10,0.920599176,0.911487397
,,,,,,,,,,,,11,0.905222681,0.890669283
,,,,,,,,,,,,12,0.894342323,0.873999721
,,,,,,,,,,,,13,0.88648686,0.860500977
,,,,,,,,,,,,14,0.880704657,0.849450814
,,,,,,,,,,,,15,0.876371196,0.840312126
,,,,,,,,,,,,16,0.873069345,0.832681845
,,,,,,,,,,,,17,0.870515287,0.826254428
,,,,,,,,,,,,18,0.86851236,0.820795838
,,,,,,,,,,,,19,0.866921901,0.816124944
,,,,,,,,,,,,20,0.86564452,0.812100155
,,,,,,,,,,,,21,0.864607879,0.80860972
,,,,,,,,,,,,22,0.863758577,0.80556463
,,,,,,,,,,,,23,0.863056668,0.802893382
,,,,,,,,,,,,24,0.862471904,0.80053806
