nTot =,4425,,binMid (?),"n_res,bin",n_bin,"p_res,bin (DATA)",p_z_1 (FIT),SqLgDif Err 1,p_z_2 (FIT),SqLgDif Err 2,,z,Pz_Outer,Pz_Inner
nRes=,322.2269483,,-22.5,4.336824864,37.14630579,1.6033,1.564264452,0.000114589,1.674205632,0.000353215,,-24,1.575472135,1.678451423
,,,-21,6.401864105,53.38306721,1.6469,1.543994718,0.0007852,1.66446243,2.12223E-05,,-23,1.568743256,1.676014153
Paq_1,1.591632043,,-19.5,12.25558176,104.6734919,1.6079,1.506739402,0.000796419,1.641105078,7.88074E-05,,-22,1.558808424,1.671822351
?E0_1,0.535695172,,-18,20.99847034,171.1190525,1.6852,1.438645307,0.004719376,1.583668692,0.000728305,,-21,1.543994718,1.66446243
zmid_1,14.03896746,,-16.5,26.75401442,239.2408502,1.5357,1.320687949,0.004291058,1.447669138,0.000657259,,-20,1.521757663,1.651287298
n_1,8.342329966,,-15,24.52247125,301.1099038,1.1184,1.143723858,9.45566E-05,1.185007713,0.000631216,,-19,1.488351217,1.627347116
,,,-13.5,20.5691164,325.1446914,0.8687,0.9410507,0.00120709,0.872499779,3.59294E-06,,-18,1.438645307,1.583668692
Paq_2,1.682300304,,-12,17.05175494,335.092151,0.6988,0.780739293,0.002318725,0.682290821,0.000107814,,-17,1.366647357,1.505524534
?E0_2,0.613360894,,-10.5,15.14279594,329.7126103,0.6307,0.693363499,0.001692347,0.616315181,0.0001004,,-16,1.267787051,1.374662165
zmid_2,-14.15550149,,-9,14.00394668,284.4671655,0.676,0.658212239,0.000134114,0.600395958,0.002653171,,-15,1.143723858,1.185007713
n_2,11.57670041,,-7.5,10.67785797,233.0137027,0.6293,0.647236241,0.000148964,0.597531305,0.000506118,,-14,1.007231902,0.969676885
,,,-6,10.43969934,229.7219923,0.6241,0.6446108,0.000197217,0.597165295,0.000367091,,-13,0.879999457,0.791244514
,,,-4.5,10.58547353,238.0645755,0.6106,0.644170181,0.000540275,0.597136454,9.37647E-05,,-12,0.780739293,0.682290821
,,,-3,7.73177869,209.6984556,0.5063,0.644127692,0.010933639,0.597135393,0.005135856,,-11,0.715115487,0.629648317
,,,-1.5,7.974171765,193.1250516,0.567,0.644126203,0.00306782,0.597135384,0.000505789,,-10,0.67742372,0.608109707
,,,0,8.147678355,197.3133755,0.5671,0.644126198,0.003059342,0.597135384,0.00050235,,-9,0.658212239,0.600395958
,,,1.5,7.707457091,211.8728901,0.4996,0.644126203,0.0121768,0.597135384,0.005998561,,-8,0.649443424,0.597970871
,,,3,9.839939032,212.6004826,0.6356,0.644127692,3.35019E-05,0.597135393,0.00073501,,-7,0.645877495,0.597313542
,,,4.5,12.53268639,207.8261565,0.8281,0.644170181,0.011898919,0.597136454,0.020166613,,-6,0.6446108,0.597165295
,,,6,11.8171472,218.7038,0.742,0.6446108,0.003733983,0.597165295,0.008894253,,-5,0.64423212,0.597139008
,,,7.5,10.04428423,210.9114221,0.654,0.647236241,2.03845E-05,0.597531305,0.00153798,,-4,0.644142663,0.597135657
,,,9,10.40360552,213.7992175,0.6682,0.658212239,4.27784E-05,0.600395958,0.002159341,,-3,0.644127692,0.597135393
,,,10.5,10.86562545,220.6304527,0.6763,0.693363499,0.000117107,0.616315181,0.001627035,,-2,0.644126249,0.597135384
,,,12,12.84070566,225.0124392,0.7837,0.780739293,2.70211E-06,0.682290821,0.003621671,,-1,0.644126198,0.597135384
,,,13.5,14.46975007,218.4555713,0.9096,0.9410507,0.000217933,0.872499779,0.000327072,,0,0.644126198,0.597135384
,,,15,20.21686671,224.0327673,1.2392,1.143723858,0.001212448,1.185007713,0.000377145,,1,0.644126198,0.597135384
,,,16.5,22.00248313,233.7570822,1.2926,1.320687949,8.71621E-05,1.447669138,0.002421148,,2,0.644126249,0.597135384
,,,18,20.78970401,221.1424413,1.291,1.438645307,0.002211585,1.583668692,0.007874448,,3,0.644127692,0.597135393
,,,19.5,23.82502768,203.0828409,1.6111,1.506739402,0.0008459,1.641105078,6.42225E-05,,4,0.644142663,0.597135657
,,,21,23.65538149,202.2358636,1.6063,1.543994718,0.000295182,1.66446243,0.00023862,,5,0.64423212,0.597139008
,,,22.5,20.63273909,185.5926587,1.5267,1.564264452,0.000111439,1.674205632,0.00160441,,6,0.6446108,0.597165295
,,,,,,,,,,,,7,0.645877495,0.597313542
,,,,,,O. Leaflet,Sqrt(Avg):,0.047478394,,,,8,0.649443424,0.597970871
,,,,,,I. Leaflet,,,Sqrt(Avg):,0.027890377,,9,0.658212239,0.600395958
,,,,,,,,,,,,10,0.67742372,0.608109707
,,,,,,,,,,,,11,0.715115487,0.629648317
,,,,,,,,,,,,12,0.780739293,0.682290821
,,,,,,,,,,,,13,0.879999457,0.791244514
,,,,,,,,,,,,14,1.007231902,0.969676885
,,,,,,,,,,,,15,1.143723858,1.185007713
,,,,,,,,,,,,16,1.267787051,1.374662165
,,,,,,,,,,,,17,1.366647357,1.505524534
,,,,,,,,,,,,18,1.438645307,1.583668692
,,,,,,,,,,,,19,1.488351217,1.627347116
,,,,,,,,,,,,20,1.521757663,1.651287298
,,,,,,,,,,,,21,1.543994718,1.66446243
,,,,,,,,,,,,22,1.558808424,1.671822351
,,,,,,,,,,,,23,1.568743256,1.676014153
,,,,,,,,,,,,24,1.575472135,1.678451423
