nTot =,4425,,binMid (?),"n_res,bin",n_bin,"p_res,bin (DATA)",p_z_1 (FIT),SqLgDif Err 1,p_z_2 (FIT),SqLgDif Err 2,,z,Pz_Outer,Pz_Inner
nRes=,188.0563868,,-22.5,3.437605249,37.14630579,2.1775,1.363135361,0.041379363,1.848947249,0.005045778,,-24,1.373382396,1.970468231
,,,-21,3.775385281,53.38306721,1.6641,1.346610838,0.00845247,1.704390788,0.000107947,,-23,1.367097577,1.892093486
Paq_1,1.393154329,,-19.5,5.763763892,104.6734919,1.2957,1.319619439,6.3111E-05,1.541473523,0.005689928,,-22,1.358489316,1.803203059
?E0_1,0.458885307,,-18,9.581640984,171.1190525,1.3175,1.275534386,0.00019764,1.370639845,0.000294903,,-21,1.346610838,1.704390788
zmid_1,13.23949924,,-16.5,13.0865337,239.2408502,1.2871,1.205401228,0.000811148,1.206733595,0.00078405,,-20,1.330131895,1.597292823
n_1,6.681192229,,-15,13.08890107,301.1099038,1.0228,1.101800846,0.00104409,1.06451185,0.000301362,,-19,1.307230405,1.484734457
,,,-13.5,12.37510467,325.1446914,0.8956,0.969765065,0.001193872,0.953404656,0.000737839,,-18,1.275534386,1.370639845
Paq_2,2.430356809,,-12,13.79368259,335.092151,0.9686,0.83632954,0.004066234,0.875156881,0.001941156,,-17,1.232250634,1.259623312
?E0_2,0.678350694,,-10.5,12.44494822,329.7126103,0.8881,0.735251755,0.006728232,0.825372671,0.00101199,,-16,1.174734743,1.156300786
zmid_2,-18,,-9,9.224751924,284.4671655,0.763,0.677937946,0.002635241,0.796839154,0.000355177,,-15,1.101800846,1.06451185
n_2,5.197945385,,-7.5,7.536199885,233.0137027,0.761,0.65289735,0.004427538,0.782303949,0.000143781,,-14,1.015700662,0.986720732
,,,-6,8.00370788,229.7219923,0.8198,0.644392977,0.01093219,0.775922591,0.000570709,,-13,0.923591619,0.923792021
,,,-4.5,8.496266806,238.0645755,0.8398,0.642254948,0.013564891,0.773651971,0.001269514,,-12,0.83632954,0.875156881
,,,-3,6.057118458,209.6984556,0.6797,0.641911891,0.000617117,0.773074837,0.003125287,,-11,0.764016399,0.839228093
,,,-1.5,5.760262044,193.1250516,0.7018,0.641887639,0.0015019,0.772997145,0.001761021,,-10,0.711560098,0.813877165
,,,0,7.137246747,197.3133755,0.8511,0.6418874,0.015011577,0.772994969,0.001747568,,-9,0.677937946,0.796839154
,,,1.5,5.36552185,211.8728901,0.5959,0.641887639,0.001042362,0.772997145,0.012770018,,-8,0.658709249,0.785991041
,,,3,5.064703398,212.6004826,0.5606,0.641911891,0.003460066,0.773074837,0.019479351,,-7,0.648866217,0.77950744
,,,4.5,5.520583507,207.8261565,0.625,0.642254948,0.000139888,0.773651971,0.008586917,,-6,0.644392977,0.775922591
,,,6,5.285002902,218.7038,0.5686,0.644392977,0.002953264,0.775922591,0.018228116,,-5,0.642630125,0.774130794
,,,7.5,6.143651588,210.9114221,0.6854,0.65289735,0.000445176,0.782303949,0.003298368,,-4,0.642054764,0.773351208
,,,9,6.926481913,213.7992175,0.7623,0.677937946,0.002594474,0.796839154,0.00037036,,-3,0.641911891,0.773074837
,,,10.5,6.099131775,220.6304527,0.6505,0.735251755,0.002829045,0.825372671,0.010692136,,-2,0.641889032,0.773004675
,,,12,7.915193627,225.0124392,0.8277,0.83632954,2.02904E-05,0.875156881,0.000586267,,-1,0.641887416,0.772995233
,,,13.5,10.10765054,218.4555713,1.0887,0.969765065,0.002524227,0.953404656,0.003321327,,0,0.6418874,0.772994969
,,,15,10.16562761,224.0327673,1.0677,1.101800846,0.000186428,1.06451185,1.68673E-06,,1,0.641887416,0.772995233
,,,16.5,10.52581982,233.7570822,1.0595,1.205401228,0.003139436,1.206733595,0.00319343,,2,0.641889032,0.773004675
,,,18,12.07655476,221.1424413,1.285,1.275534386,1.03102E-05,1.370639845,0.000785133,,3,0.641911891,0.773074837
,,,19.5,13.24295133,203.0828409,1.5344,1.319619439,0.004288925,1.541473523,3.98992E-06,,4,0.642054764,0.773351208
,,,21,12.09799654,202.2358636,1.4076,1.346610838,0.000370068,1.704390788,0.006903935,,5,0.642630125,0.774130794
,,,22.5,9.624821157,185.5926587,1.2203,1.363135361,0.002310953,1.848947249,0.032565057,,6,0.644392977,0.775922591
,,,,,,,,,,,,7,0.648866217,0.77950744
,,,,,,O. Leaflet,Sqrt(Avg):,0.050822294,,,,8,0.658709249,0.785991041
,,,,,,I. Leaflet,,,Sqrt(Avg):,0.039439834,,9,0.677937946,0.796839154
,,,,,,,,,,,,10,0.711560098,0.813877165
,,,,,,,,,,,,11,0.764016399,0.839228093
,,,,,,,,,,,,12,0.83632954,0.875156881
,,,,,,,,,,,,13,0.923591619,0.923792021
,,,,,,,,,,,,14,1.015700662,0.986720732
,,,,,,,,,,,,15,1.101800846,1.06451185
,,,,,,,,,,,,16,1.174734743,1.156300786
,,,,,,,,,,,,17,1.232250634,1.259623312
,,,,,,,,,,,,18,1.275534386,1.370639845
,,,,,,,,,,,,19,1.307230405,1.484734457
,,,,,,,,,,,,20,1.330131895,1.597292823
,,,,,,,,,,,,21,1.346610838,1.704390788
,,,,,,,,,,,,22,1.358489316,1.803203059
,,,,,,,,,,,,23,1.367097577,1.892093486
,,,,,,,,,,,,24,1.373382396,1.970468231
