nTot =,4425,,binMid (?),"n_res,bin",n_bin,"p_res,bin (DATA)",p_z_1 (FIT),SqLgDif Err 1,p_z_2 (FIT),SqLgDif Err 2,,z,Pz_Outer,Pz_Inner
nRes=,215.2337241,,-22.5,0.775119449,37.14630579,0.429,0.900079489,0.103570412,1.05744279,0.153506917,,-24,0.900007175,1.02884641
,,,-21,1.422759634,53.38306721,0.5479,0.900656161,0.046594557,1.105454525,0.09292717,,-23,0.900036843,1.046078267
Paq_1,0.9,,-19.5,3.646230326,104.6734919,0.7162,0.904041078,0.010232101,1.178769092,0.046826546,,-22,0.900165982,1.070966605
?E0_1,-0.3,,-18,5.677090478,171.1190525,0.6821,0.918653713,0.016719469,1.27965615,0.07466296,,-21,0.900656161,1.105454525
zmid_1,11,,-16.5,8.206175673,239.2408502,0.7052,0.965233835,0.018583206,1.401992128,0.089062418,,-20,0.902277155,1.151257989
n_1,2.764143133,,-15,13.39408506,301.1099038,0.9145,1.075131525,0.004938981,1.526767186,0.049545911,,-19,0.906944872,1.209412491
,,,-13.5,20.94287903,325.1446914,1.3242,1.260089799,0.000464492,1.623060652,0.00781123,,-18,0.918653713,1.27965615
Paq_2,1,,-12,28.60747851,335.092151,1.7552,1.446510136,0.007056862,1.659648079,0.000591005,,-17,0.944283562,1.359710509
?E0_2,-0.3,,-10.5,28.23363107,329.7126103,1.7605,1.481454416,0.005617163,1.623060652,0.00124618,,-16,0.993325003,1.444655888
zmid_2,-12,,-9,21.89120188,284.4671655,1.5821,1.329190759,0.005722411,1.526767186,0.000239046,,-15,1.075131525,1.526767186
n_2,5,,-7.5,16.76811227,233.0137027,1.4795,1.129637359,0.013730197,1.401992128,0.000546129,,-14,1.192145748,1.596248026
,,,-6,14.01723303,229.7219923,1.2545,0.993325003,0.010277762,1.27965615,7.43496E-05,,-13,1.329190759,1.643082609
,,,-4.5,14.58564521,238.0645755,1.2596,0.929180265,0.017459044,1.178769092,0.000829665,,-12,1.446510136,1.659648079
,,,-3,13.26246336,209.6984556,1.3003,0.906944872,0.024480568,1.105454525,0.004970628,,-11,1.493683271,1.643082609
,,,-1.5,13.11587586,193.1250516,1.3962,0.901242375,0.036140303,1.05744279,0.014566258,,-10,1.446510136,1.596248026
,,,0,12.48925057,197.3133755,1.3013,0.900165982,0.02561755,1.02884641,0.010409485,,-9,1.329190759,1.526767186
,,,1.5,10.12491707,211.8728901,0.9825,0.901242375,0.001405572,1.05744279,0.001019162,,-8,1.192145748,1.444655888
,,,3,9.862947238,212.6004826,0.9538,0.906944872,0.000478578,1.105454525,0.004106703,,-7,1.075131525,1.359710509
,,,4.5,9.775763207,207.8261565,0.9671,0.929180265,0.000301766,1.178769092,0.007388667,,-6,0.993325003,1.27965615
,,,6,10.39178701,218.7038,0.9769,0.993325003,5.24358E-05,1.27965615,0.013745963,,-5,0.944283562,1.209412491
,,,7.5,11.71030864,210.9114221,1.1415,1.129637359,2.05832E-05,1.401992128,0.007969072,,-4,0.918653713,1.151257989
,,,9,12.64509378,213.7992175,1.216,1.329190759,0.001494111,1.526767186,0.009769196,,-3,0.906944872,1.105454525
,,,10.5,13.42165656,220.6304527,1.2507,1.481454416,0.005407417,1.623060652,0.012810074,,-2,0.902277155,1.070966605
,,,12,14.70201018,225.0124392,1.3433,1.446510136,0.001033524,1.659648079,0.008435135,,-1,0.900656161,1.046078267
,,,13.5,12.90725451,218.4555713,1.2147,1.260089799,0.000253843,1.623060652,0.015842179,,0,0.900165982,1.02884641
,,,15,8.925356874,224.0327673,0.8191,1.075131525,0.013953438,1.526767186,0.073135571,,1,0.900656161,1.046078267
,,,16.5,6.653465679,233.7570822,0.5852,0.965233835,0.047231555,1.401992128,0.143975668,,2,0.902277155,1.070966605
,,,18,6.537963606,221.1424413,0.6078,0.918653713,0.032181181,1.27965615,0.104543965,,3,0.906944872,1.105454525
,,,19.5,5.837071045,203.0828409,0.5909,0.904041078,0.034104551,1.178769092,0.089948857,,4,0.918653713,1.151257989
,,,21,5.918622464,202.2358636,0.6017,0.900656161,0.030687687,1.105454525,0.069780965,,5,0.944283562,1.209412491
,,,22.5,5.486101291,185.5926587,0.6077,0.900079489,0.029101504,1.05744279,0.057872791,,6,0.993325003,1.27965615
,,,,,,,,,,,,7,1.075131525,1.359710509
,,,,,,O. Leaflet,Sqrt(Avg):,0.118143264,,,,8,1.192145748,1.444655888
,,,,,,I. Leaflet,,,Sqrt(Avg):,0.185036466,,9,1.329190759,1.526767186
,,,,,,,,,,,,10,1.446510136,1.596248026
,,,,,,,,,,,,11,1.493683271,1.643082609
,,,,,,,,,,,,12,1.446510136,1.659648079
,,,,,,,,,,,,13,1.329190759,1.643082609
,,,,,,,,,,,,14,1.192145748,1.596248026
,,,,,,,,,,,,15,1.075131525,1.526767186
,,,,,,,,,,,,16,0.993325003,1.444655888
,,,,,,,,,,,,17,0.944283562,1.359710509
,,,,,,,,,,,,18,0.918653713,1.27965615
,,,,,,,,,,,,19,0.906944872,1.209412491
,,,,,,,,,,,,20,0.902277155,1.151257989
,,,,,,,,,,,,21,0.900656161,1.105454525
,,,,,,,,,,,,22,0.900165982,1.070966605
,,,,,,,,,,,,23,0.900036843,1.046078267
,,,,,,,,,,,,24,0.900007175,1.02884641
