nTot =,4425,,binMid (?),"n_res,bin",n_bin,"p_res,bin (DATA)",p_z_1 (FIT),SqLgDif Err 1,p_z_2 (FIT),SqLgDif Err 2,,z,Pz_Outer,Pz_Inner
nRes=,397.4839525,,-22.5,3.813128245,37.14630579,1.1428,1.03387549,0.001892423,1.232832408,0.001084636,,-24,1.074750673,1.23319482
,,,-21,5.786173732,53.38306721,1.2067,0.98363098,0.007879601,1.23148921,7.79918E-05,,-23,1.048745753,1.233011301
Paq_1,1.141125263,,-19.5,13.26165224,104.6734919,1.4104,0.930379849,0.032645986,1.227208673,0.003651046,,-22,1.017929582,1.232554223
?E0_1,0.182685926,,-18,20.81538821,171.1190525,1.3542,0.883001048,0.034492509,1.215540706,0.002200858,,-21,0.98363098,1.23148921
zmid_1,14.96611258,,-16.5,23.94527092,239.2408502,1.1142,0.850229057,0.01378915,1.188579498,0.000787649,,-20,0.947940877,1.229170045
n_1,4.990251469,,-15,28.85719012,301.1099038,1.0669,0.838217998,0.010976068,1.136486138,0.000752977,,-19,0.91347288,1.224457394
,,,-13.5,30.63853194,325.1446914,1.049,0.849206202,0.008420325,1.053801303,3.93325E-06,,-18,0.883001048,1.215540706
Paq_2,1.233299559,,-12,29.72677954,335.092151,0.9876,0.881146594,0.00245351,0.948045585,0.000315129,,-17,0.859077398,1.199880291
?E0_2,0.314876941,,-10.5,26.25988682,329.7126103,0.8866,0.928041984,0.000393622,0.841400721,0.000516419,,-16,0.843720753,1.174454359
zmid_2,-7.246332739,,-9,18.78488526,284.4671655,0.7351,0.981228776,0.015731143,0.760737072,0.000221657,,-15,0.838217998,1.136486138
n_2,4.006710433,,-7.5,14.32359216,233.0137027,0.6843,1.031773307,0.031804352,0.725444777,0.000643019,,-14,0.84302674,1.08463637
,,,-6,15.68663328,229.7219923,0.7602,1.073154804,0.022420423,0.74310161,9.76077E-05,,-13,0.857747206,1.020266106
,,,-4.5,17.09373219,238.0645755,0.7993,1.102753498,0.01953527,0.810005989,3.33901E-05,,-12,0.881146594,0.948045585
,,,-3,18.49957932,209.6984556,0.9821,1.121435735,0.003319912,0.910691474,0.00107482,,-11,0.911250703,0.875327867
,,,-1.5,18.70524357,193.1250516,1.0782,1.131929128,0.000446051,1.019757307,0.000585761,,-10,0.945534998,0.810433679
,,,0,16.79695706,197.3133755,0.9477,1.1372103,0.006267874,1.111905877,0.004815964,,-9,0.981228776,0.760737072
,,,1.5,23.18033061,211.8728901,1.218,1.131929128,0.001013025,1.019757307,0.005952194,,-8,1.015695291,0.731461419
,,,3,25.12565672,212.6004826,1.3157,1.121435735,0.004813929,0.910691474,0.025531439,,-7,1.046798771,0.725400805
,,,4.5,19.44642184,207.8261565,1.0417,1.102753498,0.000611859,0.810005989,0.011936531,,-6,1.073154804,0.74310161
,,,6,20.25204611,218.7038,1.0309,1.073154804,0.000304357,0.74310161,0.020211836,,-5,1.094199155,0.782936075
,,,7.5,20.6733185,210.9114221,1.0912,1.031773307,0.000591466,0.725444777,0.03143529,,-4,1.110079721,0.840922778
,,,9,18.3473397,213.7992175,0.9553,0.981228776,0.000135268,0.760737072,0.009782238,,-3,1.121435735,0.910691474
,,,10.5,17.52477823,220.6304527,0.8843,0.928041984,0.000439657,0.841400721,0.000466419,,-2,1.129149179,0.984191881
,,,12,18.19164782,225.0124392,0.9,0.881146594,8.45359E-05,0.948045585,0.000510159,,-1,1.134136099,1.053327437
,,,13.5,16.1560165,218.4555713,0.8233,0.849206202,0.000181038,1.053801303,0.011491972,,0,1.1372103,1.111905877
,,,15,17.66544479,224.0327673,0.8778,0.838217998,0.000401545,1.136486138,0.012581787,,1,1.134136099,1.053327437
,,,16.5,19.78457493,233.7570822,0.9422,0.850229057,0.001989798,1.188579498,0.01017781,,2,1.129149179,0.984191881
,,,18,16.78026878,221.1424413,0.8447,0.883001048,0.000370898,1.215540706,0.024985181,,3,1.121435735,0.910691474
,,,19.5,14.16691582,203.0828409,0.7766,0.930379849,0.006156428,1.227208673,0.039490048,,4,1.110079721,0.840922778
,,,21,18.82094349,202.2358636,1.036,0.98363098,0.000507491,1.23148921,0.005635633,,5,1.094199155,0.782936075
,,,22.5,19.04005566,185.5926587,1.1421,1.03387549,0.001869342,1.232832408,0.001102234,,6,1.073154804,0.74310161
,,,,,,,,,,,,7,1.046798771,0.725400805
,,,,,,O. Leaflet,Sqrt(Avg):,0.040108067,,,,8,1.015695291,0.731461419
,,,,,,I. Leaflet,,,Sqrt(Avg):,0.032464265,,9,0.981228776,0.760737072
,,,,,,,,,,,,10,0.945534998,0.810433679
,,,,,,,,,,,,11,0.911250703,0.875327867
,,,,,,,,,,,,12,0.881146594,0.948045585
,,,,,,,,,,,,13,0.857747206,1.020266106
,,,,,,,,,,,,14,0.84302674,1.08463637
,,,,,,,,,,,,15,0.838217998,1.136486138
,,,,,,,,,,,,16,0.843720753,1.174454359
,,,,,,,,,,,,17,0.859077398,1.199880291
,,,,,,,,,,,,18,0.883001048,1.215540706
,,,,,,,,,,,,19,0.91347288,1.224457394
,,,,,,,,,,,,20,0.947940877,1.229170045
,,,,,,,,,,,,21,0.98363098,1.23148921
,,,,,,,,,,,,22,1.017929582,1.232554223
,,,,,,,,,,,,23,1.048745753,1.233011301
,,,,,,,,,,,,24,1.074750673,1.23319482
