nTot =,4425,,binMid (?),"n_res,bin",n_bin,"p_res,bin (DATA)",p_z_1 (FIT),SqLgDif Err 1,p_z_2 (FIT),SqLgDif Err 2,,z,Pz_Outer,Pz_Inner
nRes=,77.33159313,,-22.5,0.44767562,37.14630579,0.6896,1.360443046,0.087074043,0.953939836,0.019859498,,-24,1.361077869,0.953939836
,,,-21,0.743203995,53.38306721,0.7966,1.359500643,0.053888569,0.953939836,0.006127865,,-23,1.36068218,0.953939836
Paq_1,1.362773873,,-19.5,1.418827659,104.6734919,0.7756,1.358062603,0.059186127,0.953939836,0.008078987,,-22,1.36017034,0.953939836
?E0_1,0.477940584,,-18,2.859219245,171.1190525,0.9561,1.355798521,0.023010414,0.953939836,9.64979E-07,,-21,1.359500643,0.953939836
zmid_1,6.472634846,,-16.5,3.491997629,239.2408502,0.8352,1.352104595,0.043772926,0.953939836,0.003332811,,-20,1.358613445,0.953939836
n_1,4.939078752,,-15,4.530358137,301.1099038,0.8609,1.345829205,0.037650451,0.953939836,0.001986331,,-19,1.357422091,0.953939836
,,,-13.5,7.235552497,325.1446914,1.2734,1.334676934,0.000416622,0.953939836,0.015736162,,-18,1.355798521,0.953939836
Paq_2,0.953939836,,-12,7.287139945,335.092151,1.2444,1.313891122,0.000556931,0.953939836,0.013326167,,-17,1.35355003,0.953939836
?E0_2,0.280139429,,-10.5,5.30278762,329.7126103,0.9203,1.273468658,0.019897596,0.953939835,0.000243097,,-16,1.350381045,0.953939836
zmid_2,-4.827870741,,-9,4.601151181,284.4671655,0.9255,1.193736955,0.012217371,0.953939832,0.000172779,,-15,1.345829205,0.953939836
n_2,30,,-7.5,5.35987119,233.0137027,1.3162,1.047744138,0.009814201,0.953939013,0.019544397,,-14,1.339157007,0.953939836
,,,-6,4.380378556,229.7219923,1.0911,0.844748531,0.012351457,0.953276421,0.003439319,,-13,1.329167108,0.953939836
,,,-4.5,2.597525729,238.0645755,0.6243,0.682066586,0.001477129,0.62558833,8.01568E-07,,-12,1.313891122,0.953939836
,,,-3,2.478512864,209.6984556,0.6763,0.618861136,0.001485808,0.594388756,0.003143711,,-11,1.290091327,0.953939836
,,,-1.5,1.796245035,193.1250516,0.5322,0.608365345,0.003374401,0.594388579,0.002303576,,-10,1.25257928,0.953939835
,,,0,2.015207635,197.3133755,0.5844,0.608006937,0.000295782,0.594388579,5.41733E-05,,-9,1.193736955,0.953939832
,,,1.5,2.547878569,211.8728901,0.6881,0.608365345,0.002860869,0.594388579,0.004042557,,-8,1.104887073,0.953939717
,,,3,2.089565582,212.6004826,0.5624,0.618861136,0.001726228,0.594388756,0.000577214,,-7,0.983218212,0.953933317
,,,4.5,2.485099916,207.8261565,0.6842,0.682066586,1.83954E-06,0.62558833,0.001512777,,-6,0.844748531,0.953276421
,,,6,3.250630213,218.7038,0.8505,0.844748531,8.68406E-06,0.953276421,0.002454661,,-5,0.725206927,0.843920173
,,,7.5,4.124183747,210.9114221,1.1189,1.047744138,0.000814305,0.953939013,0.004798425,,-4,0.651147145,0.595381584
,,,9,3.962592712,213.7992175,1.0605,1.193736955,0.002641751,0.953939832,0.002115052,,-3,0.618861136,0.594388756
,,,10.5,4.307652119,220.6304527,1.1172,1.273468658,0.003232756,0.953939835,0.004707324,,-2,0.609488996,0.594388579
,,,12,6.66842926,225.0124392,1.6958,1.313891122,0.01228002,0.953939836,0.062426844,,-1,0.608055334,0.594388579
,,,13.5,6.155717087,218.4555713,1.6124,1.334676934,0.006739857,0.953939836,0.051962025,,0,0.608006937,0.594388579
,,,15,4.458585019,224.0327673,1.1388,1.345829205,0.005262413,0.953939836,0.005917682,,1,0.608055334,0.594388579
,,,16.5,4.510798491,233.7570822,1.1042,1.352104595,0.007737409,0.953939836,0.004035649,,2,0.609488996,0.594388579
,,,18,5.322568336,221.1424413,1.3772,1.355798521,4.62653E-05,0.953939836,0.025432604,,3,0.618861136,0.594388756
,,,19.5,5.227329359,203.0828409,1.4729,1.358062603,0.001242807,0.953939836,0.035589682,,4,0.651147145,0.595381584
,,,21,5.16703336,202.2358636,1.462,1.359500643,0.000996536,0.953939836,0.034382945,,5,0.725206927,0.843920173
,,,22.5,4.162144055,185.5926587,1.2833,1.360443046,0.000642733,0.953939836,0.016591297,,6,0.844748531,0.953276421
,,,,,,,,,,,,7,0.983218212,0.953933317
,,,,,,O. Leaflet,Sqrt(Avg):,0.053927183,,,,8,1.104887073,0.953939717
,,,,,,I. Leaflet,,,Sqrt(Avg):,0.07800266,,9,1.193736955,0.953939832
,,,,,,,,,,,,10,1.25257928,0.953939835
,,,,,,,,,,,,11,1.290091327,0.953939836
,,,,,,,,,,,,12,1.313891122,0.953939836
,,,,,,,,,,,,13,1.329167108,0.953939836
,,,,,,,,,,,,14,1.339157007,0.953939836
,,,,,,,,,,,,15,1.345829205,0.953939836
,,,,,,,,,,,,16,1.350381045,0.953939836
,,,,,,,,,,,,17,1.35355003,0.953939836
,,,,,,,,,,,,18,1.355798521,0.953939836
,,,,,,,,,,,,19,1.357422091,0.953939836
,,,,,,,,,,,,20,1.358613445,0.953939836
,,,,,,,,,,,,21,1.359500643,0.953939836
,,,,,,,,,,,,22,1.36017034,0.953939836
,,,,,,,,,,,,23,1.36068218,0.953939836
,,,,,,,,,,,,24,1.361077869,0.953939836
