nTot =,4425,,binMid (?),"n_res,bin",n_bin,"p_res,bin (DATA)",p_z_1 (FIT),SqLgDif Err 1,p_z_2 (FIT),SqLgDif Err 2,,z,Pz_Outer,Pz_Inner
nRes=,179.6069489,,-22.5,1.072736178,37.14630579,0.7115,0.584638812,0.007273917,0.57316461,0.008816372,,-24,0.561262801,0.550166968
,,,-21,1.459223852,53.38306721,0.6735,0.612637143,0.001692029,0.600934891,0.002451258,,-23,0.576379512,0.565018293
Paq_1,0.4,,-19.5,2.755175398,104.6734919,0.6485,0.646312536,2.15327E-06,0.634620969,8.82766E-05,,-22,0.593410104,0.581839407
?E0_1,-0.8,,-18,4.564153403,171.1190525,0.6571,0.686927059,0.000371686,0.675604448,0.000145469,,-21,0.612637143,0.600934891
zmid_1,15.20952302,,-16.5,7.857815518,239.2408502,0.8092,0.735931007,0.001698987,0.725486745,0.002249263,,-20,0.63438298,0.622654627
n_1,2.4,,-15,11.45852641,301.1099038,0.9375,0.794872288,0.005137151,0.785985743,0.005860914,,-19,0.659011485,0.64739624
,,,-13.5,11.90707957,325.1446914,0.9022,0.86517372,0.000331222,0.858673049,0.000461175,,-18,0.686927059,0.675604448
Paq_2,0.4,,-12,13.47413638,335.092151,0.9907,0.947699703,0.000371388,0.944456372,0.000430988,,-17,0.718568944,0.707764912
?E0_2,-0.8,,-10.5,16.01499886,329.7126103,1.1967,1.042051354,0.003611549,1.042741632,0.003577066,,-16,0.754398021,0.744389141
zmid_2,-15,,-9,14.97328856,284.4671655,1.2968,1.145640809,0.00289708,1.15036891,0.002707731,,-15,0.794872288,0.785985743
n_2,2.5,,-7.5,14.47375846,233.0137027,1.5303,1.252855838,0.007547349,1.260762311,0.007080105,,-14,0.840406302,0.833012196
,,,-6,14.96317472,229.7219923,1.6048,1.354968843,0.005401016,1.364125562,0.004979641,,-13,0.891309539,0.885801072
,,,-4.5,13.23391942,238.0645755,1.3696,1.441536597,0.000494259,1.449459934,0.000605774,,-12,0.947699703,0.944456372
,,,-3,11.525181,209.6984556,1.3541,1.503427431,0.002064042,1.508198195,0.002190959,,-11,1.009390831,1.008721224
,,,-1.5,10.26340007,193.1250516,1.3093,1.536451161,0.004827414,1.537870817,0.004883311,,-10,1.075763952,1.07782926
,,,0,10.7358537,197.3133755,1.3405,1.544433969,0.003782561,1.544433969,0.003782561,,-9,1.145640809,1.15036891
,,,1.5,11.92207101,211.8728901,1.3863,1.536451161,0.001994653,1.537870817,0.002030641,,-8,1.217196995,1.224209047
,,,3,10.78470687,212.6004826,1.2498,1.503427431,0.00643877,1.508198195,0.006661481,,-7,1.287963888,1.296546369
,,,4.5,11.57413196,207.8261565,1.3721,1.441536597,0.00045967,1.449459934,0.000567414,,-6,1.354968843,1.364125562
,,,6,12.71757046,218.7038,1.4326,1.354968843,0.000585429,1.364125562,0.000452438,,-5,1.415039555,1.423642075
,,,7.5,11.16494556,210.9114221,1.3042,1.252855838,0.000304262,1.260762311,0.000216413,,-4,1.465249904,1.472270356
,,,9,8.849491559,213.7992175,1.0198,1.145640809,0.002553631,1.15036891,0.002737605,,-3,1.503427431,1.508198195
,,,10.5,7.98615588,220.6304527,0.8918,1.042051354,0.004572688,1.042741632,0.004611666,,-2,1.528612541,1.531035533
,,,12,7.324875538,225.0124392,0.802,0.947699703,0.005255725,0.944456372,0.00504207,,-1,1.541405153,1.542044257
,,,13.5,6.187911834,218.4555713,0.6979,0.86517372,0.008706779,0.858673049,0.008106235,,0,1.544433969,1.544433969
,,,15,7.121512595,224.0327673,0.7832,0.794872288,4.12765E-05,0.785985743,2.37773E-06,,1,1.541405153,1.542044257
,,,16.5,7.29055064,233.7570822,0.7684,0.735931007,0.000351572,0.725486745,0.000622895,,2,1.528612541,1.531035533
,,,18,6.31911234,221.1424413,0.704,0.686927059,0.000113679,0.675604448,0.0003197,,3,1.503427431,1.508198195
,,,19.5,4.941945803,203.0828409,0.5995,0.646312536,0.001066244,0.634620969,0.000611337,,4,1.465249904,1.472270356
,,,21,4.53168556,202.2358636,0.5521,0.612637143,0.002041736,0.600934891,0.001354952,,5,1.415039555,1.423642075
,,,22.5,4.56403688,185.5926587,0.6059,0.584638812,0.000240663,0.57316461,0.000581851,,6,1.354968843,1.364125562
,,,,,,,,,,,,7,1.287963888,1.296546369
,,,,,,O. Leaflet,Sqrt(Avg):,0.04905949,,,,8,1.217196995,1.224209047
,,,,,,I. Leaflet,,,Sqrt(Avg):,0.056075207,,9,1.145640809,1.15036891
,,,,,,,,,,,,10,1.075763952,1.07782926
,,,,,,,,,,,,11,1.009390831,1.008721224
,,,,,,,,,,,,12,0.947699703,0.944456372
,,,,,,,,,,,,13,0.891309539,0.885801072
,,,,,,,,,,,,14,0.840406302,0.833012196
,,,,,,,,,,,,15,0.794872288,0.785985743
,,,,,,,,,,,,16,0.754398021,0.744389141
,,,,,,,,,,,,17,0.718568944,0.707764912
,,,,,,,,,,,,18,0.686927059,0.675604448
,,,,,,,,,,,,19,0.659011485,0.64739624
,,,,,,,,,,,,20,0.63438298,0.622654627
,,,,,,,,,,,,21,0.612637143,0.600934891
,,,,,,,,,,,,22,0.593410104,0.581839407
,,,,,,,,,,,,23,0.576379512,0.565018293
,,,,,,,,,,,,24,0.561262801,0.550166968
