nTot =,4425,,binMid (?),"n_res,bin",n_bin,"p_res,bin (DATA)",p_z_1 (FIT),SqLgDif Err 1,p_z_2 (FIT),SqLgDif Err 2,,z,Pz_Outer,Pz_Inner
nRes=,198.4762079,,-22.5,1.814427702,37.14630579,1.089,1.986506638,0.068153441,1.209089279,0.002063929,,-24,2.120628675,1.216816882
,,,-21,2.671815991,53.38306721,1.1159,1.835334289,0.046694845,1.198913167,0.000971098,,-23,2.033128572,1.211899292
Paq_1,3,,-19.5,4.692934627,104.6734919,0.9996,1.668560571,0.04951325,1.185328959,0.005477872,,-22,1.937977367,1.206009572
?E0_1,1.11694064,,-18,9.318583217,171.1190525,1.2141,1.489829723,0.007900041,1.166949276,0.000295925,,-21,1.835334289,1.198913167
zmid_1,15.37443721,,-16.5,14.20634419,239.2408502,1.3239,1.305366066,3.74895E-05,1.1417744,0.00413126,,-20,1.725711566,1.190310728
n_1,3.345751224,,-15,17.63463604,301.1099038,1.3057,1.123731698,0.004248533,1.106977293,0.005141563,,-19,1.610059097,1.179819353
,,,-13.5,18.2173123,325.1446914,1.2491,0.954645478,0.013631751,1.058765884,0.005154848,,-18,1.489829723,1.166949276
Paq_2,1.249320636,,-12,15.33864547,335.092151,1.0205,0.806979787,0.010393874,0.992666037,0.000144236,,-17,1.367001877,1.151076244
?E0_2,0.608454019,,-10.5,11.80203782,329.7126103,0.798,0.68668718,0.004256773,0.905019646,0.002987182,,-16,1.244034094,1.131411729
zmid_2,-8.370753282,,-9,8.864741595,284.4671655,0.6948,0.595676358,0.004468848,0.796769161,0.003537003,,-15,1.123731698,1.106977293
n_2,3.452899019,,-7.5,6.970054358,233.0137027,0.6669,0.532112437,0.009615236,0.678808577,5.90839E-05,,-14,1.009023361,1.076597728
,,,-6,6.163144952,229.7219923,0.5981,0.491689286,0.007239127,0.572499635,0.000360946,,-13,0.902672806,1.03894234
,,,-4.5,5.928258828,238.0645755,0.5552,0.469014617,0.005367479,0.498065356,0.00222436,,-12,0.806979787,0.992666037
,,,-3,4.790774509,209.6984556,0.5093,0.458581321,0.002075469,0.46024097,0.001934979,,-11,0.723539688,0.93672515
,,,-1.5,3.588843732,193.1250516,0.4143,0.455314994,0.001680756,0.448350179,0.001176656,,-10,0.653120128,0.870938761
,,,0,3.605610431,197.3133755,0.4074,0.454958573,0.002299282,0.447138261,0.001633842,,-9,0.595676358,0.796769161
,,,1.5,3.722226707,211.8728901,0.3917,0.455314994,0.004271718,0.448350179,0.003441439,,-8,0.550482158,0.718030634
,,,3,4.514885425,212.6004826,0.4735,0.458581321,0.000193311,0.46024097,0.000152145,,-7,0.516322307,0.640884668
,,,4.5,5.102671156,207.8261565,0.5474,0.469014617,0.004504882,0.498065356,0.001682514,,-6,0.491689286,0.572499635
,,,6,4.845379627,218.7038,0.4939,0.491689286,3.7958E-06,0.572499635,0.004113451,,-5,0.474945722,0.518648505
,,,7.5,5.201763818,210.9114221,0.5499,0.532112437,0.000203927,0.678808577,0.00836559,,-4,0.464439916,0.481689414
,,,9,7.471315273,213.7992175,0.7791,0.595676358,0.013591559,0.796769161,9.48542E-05,,-3,0.458581321,0.46024097
,,,10.5,7.037353485,220.6304527,0.7111,0.68668718,0.000230182,0.905019646,0.010967813,,-2,0.455891742,0.450403585
,,,12,5.823848957,225.0124392,0.577,0.806979787,0.021224656,0.992666037,0.055520248,,-1,0.455050367,0.447437396
,,,13.5,7.366924791,218.4555713,0.7518,0.954645478,0.010761946,1.058765884,0.022110981,,0,0.454958573,0.447138261
,,,15,13.22045395,224.0327673,1.3156,1.123731698,0.00468694,1.106977293,0.005622773,,1,0.455050367,0.447437396
,,,16.5,15.92395272,233.7570822,1.5188,1.305366066,0.004325465,1.1417744,0.015356238,,2,0.455891742,0.450403585
,,,18,14.9857126,221.1424413,1.5108,1.489829723,3.68491E-05,1.166949276,0.012578743,,3,0.458581321,0.46024097
,,,19.5,17.03196688,203.0828409,1.8698,1.668560571,0.002445617,1.185328959,0.039186681,,4,0.464439916,0.481689414
,,,21,16.97655483,202.2358636,1.8715,1.835334289,7.18197E-05,1.198913167,0.037404373,,5,0.474945722,0.518648505
,,,22.5,14.35116696,185.5926587,1.724,1.986506638,0.003788742,1.209089279,0.023740305,,6,0.491689286,0.572499635
,,,,,,,,,,,,7,0.516322307,0.640884668
,,,,,,O. Leaflet,Sqrt(Avg):,0.067379843,,,,8,0.550482158,0.718030634
,,,,,,I. Leaflet,,,Sqrt(Avg):,0.048279644,,9,0.595676358,0.796769161
,,,,,,,,,,,,10,0.653120128,0.870938761
,,,,,,,,,,,,11,0.723539688,0.93672515
,,,,,,,,,,,,12,0.806979787,0.992666037
,,,,,,,,,,,,13,0.902672806,1.03894234
,,,,,,,,,,,,14,1.009023361,1.076597728
,,,,,,,,,,,,15,1.123731698,1.106977293
,,,,,,,,,,,,16,1.244034094,1.131411729
,,,,,,,,,,,,17,1.367001877,1.151076244
,,,,,,,,,,,,18,1.489829723,1.166949276
,,,,,,,,,,,,19,1.610059097,1.179819353
,,,,,,,,,,,,20,1.725711566,1.190310728
,,,,,,,,,,,,21,1.835334289,1.198913167
,,,,,,,,,,,,22,1.937977367,1.206009572
,,,,,,,,,,,,23,2.033128572,1.211899292
,,,,,,,,,,,,24,2.120628675,1.216816882
