nTot =,4425,,binMid (?),"n_res,bin",n_bin,"p_res,bin (DATA)",p_z_1 (FIT),SqLgDif Err 1,p_z_2 (FIT),SqLgDif Err 2,,z,Pz_Outer,Pz_Inner
nRes=,375.4873405,,-22.5,3.560948433,37.14630579,1.1297,0.491505746,0.130634919,0.83546669,0.017169906,,-24,0.464188456,0.835415832
,,,-21,4.356608867,53.38306721,0.9618,0.523827037,0.069641554,0.835594868,0.003731867,,-23,0.481891242,0.835444513
Paq_1,0.254390725,,-19.5,5.967040478,104.6734919,0.6718,0.562222026,0.00598026,0.835940119,0.009012686,,-22,0.50167471,0.835496822
?E0_1,-1.098669214,,-18,9.627640751,171.1190525,0.663,0.607960045,0.001416656,0.836943605,0.010237932,,-21,0.523827037,0.835594868
zmid_1,17,,-16.5,16.98073316,239.2408502,0.8364,0.662496999,0.010247535,0.840123668,3.7218E-06,,-20,0.548674617,0.835784222
n_1,2.130583735,,-15,23.12315436,301.1099038,0.905,0.727406681,0.009000562,0.851179535,0.000709019,,-19,0.576583736,0.836162085
,,,-13.5,22.93456838,325.1446914,0.8313,0.804210789,0.000207011,0.892426222,0.000949536,,-18,0.607960045,0.836943605
Paq_2,0.835376182,,-12,30.00429351,335.092151,1.0552,0.894045322,0.005180436,1.033830074,7.89543E-05,,-17,0.643244326,0.838624076
?E0_2,-0.345081034,,-10.5,37.78515148,329.7126103,1.3505,0.997099938,0.017359617,1.301481017,0.000257819,,-16,0.682902452,0.842389705
zmid_2,-11.49450763,,-9,31.4884401,284.4671655,1.3045,1.111813647,0.004818037,1.459984043,0.002391604,,-15,0.727406681,0.851179535
n_2,12.78953813,,-7.5,24.43132607,233.0137027,1.2356,1.233949653,3.36933E-07,1.492412076,0.00672578,,-14,0.77720469,0.872357307
,,,-6,28.14555947,229.7219923,1.4439,1.355920806,0.000745442,1.495884147,0.000235956,,-13,0.83267222,0.923245491
,,,-4.5,32.32739752,238.0645755,1.6003,1.466994583,0.001426792,1.496092212,0.000855156,,-12,0.894045322,1.033830074
,,,-3,28.80380253,209.6984556,1.6187,1.554994373,0.000304068,1.496097572,0.001170081,,-11,0.961329646,1.21086317
,,,-1.5,27.47284925,193.1250516,1.6764,1.609561624,0.00031223,1.496097602,0.002442112,,-10,1.034187923,1.375571395
,,,0,26.14469325,197.3133755,1.5615,1.626487217,0.000313597,1.496097602,0.000345293,,-9,1.111813647,1.459984043
,,,1.5,28.28179056,211.8728901,1.5731,1.609561624,9.90279E-05,1.496097602,0.000475083,,-8,1.192809231,1.487742683
,,,3,31.44503094,212.6004826,1.743,1.554994373,0.002457043,1.496097572,0.00440066,,-7,1.27509934,1.494567656
,,,4.5,25.99164119,207.8261565,1.4738,1.466994583,4.04027E-06,1.496092212,4.25079E-05,,-6,1.355920806,1.495884147
,,,6,23.84189027,218.7038,1.2847,1.355920806,0.000549087,1.495884147,0.004368712,,-5,1.431932899,1.496076865
,,,7.5,23.0141682,210.9114221,1.2859,1.233949653,0.000320759,1.492412076,0.004183704,,-4,1.499478438,1.496096407
,,,9,18.11593002,213.7992175,0.9986,1.111813647,0.002175331,1.459984043,0.027210662,,-3,1.554994373,1.496097572
,,,10.5,17.07307382,220.6304527,0.9119,0.997099938,0.001504778,1.301481017,0.023867352,,-2,1.595529184,1.496097602
,,,12,19.22250318,225.0124392,1.0067,0.894045322,0.002656427,1.033830074,0.000133382,,-1,1.619307707,1.496097602
,,,13.5,17.54034593,218.4555713,0.9462,0.804210789,0.004986203,0.892426222,0.0006457,,0,1.626487217,1.496097602
,,,15,14.07923889,224.0327673,0.7406,0.727406681,6.09402E-05,0.851179535,0.003652687,,1,1.619307707,1.496097602
,,,16.5,11.64722504,233.7570822,0.5872,0.662496999,0.002745537,0.840123668,0.024198034,,2,1.595529184,1.496097602
,,,18,10.4450485,221.1424413,0.5566,0.607960045,0.00146933,0.836943605,0.031383183,,3,1.554994373,1.496097572
,,,19.5,9.745708052,203.0828409,0.5655,0.562222026,6.37438E-06,0.835940119,0.028812536,,4,1.499478438,1.496096407
,,,21,9.420812957,202.2358636,0.549,0.523827037,0.000415525,0.835594868,0.033278304,,5,1.431932899,1.496076865
,,,22.5,7.829266133,185.5926587,0.4971,0.491505746,2.41588E-05,0.83546669,0.050843655,,6,1.355920806,1.495884147
,,,,,,,,,,,,7,1.27509934,1.494567656
,,,,,,O. Leaflet,Sqrt(Avg):,0.035167596,,,,8,1.192809231,1.487742683
,,,,,,I. Leaflet,,,Sqrt(Avg):,0.05932823,,9,1.111813647,1.459984043
,,,,,,,,,,,,10,1.034187923,1.375571395
,,,,,,,,,,,,11,0.961329646,1.21086317
,,,,,,,,,,,,12,0.894045322,1.033830074
,,,,,,,,,,,,13,0.83267222,0.923245491
,,,,,,,,,,,,14,0.77720469,0.872357307
,,,,,,,,,,,,15,0.727406681,0.851179535
,,,,,,,,,,,,16,0.682902452,0.842389705
,,,,,,,,,,,,17,0.643244326,0.838624076
,,,,,,,,,,,,18,0.607960045,0.836943605
,,,,,,,,,,,,19,0.576583736,0.836162085
,,,,,,,,,,,,20,0.548674617,0.835784222
,,,,,,,,,,,,21,0.523827037,0.835594868
,,,,,,,,,,,,22,0.50167471,0.835496822
,,,,,,,,,,,,23,0.481891242,0.835444513
,,,,,,,,,,,,24,0.464188456,0.835415832
