nTot =,4425,,binMid (?),"n_res,bin",n_bin,"p_res,bin (DATA)",p_z_1 (FIT),SqLgDif Err 1,p_z_2 (FIT),SqLgDif Err 2,,z,Pz_Outer,Pz_Inner
nRes=,56.8971792,,-22.5,0.411781277,37.14630579,0.8621,0.626783351,0.019165687,0.918370402,0.000754064,,-24,0.603385192,0.91308471
,,,-21,0.824915059,53.38306721,1.2018,0.65503517,0.06946787,0.925002056,0.012925303,,-23,0.618487791,0.916477122
Paq_1,0.469382718,,-19.5,1.216748309,104.6734919,0.904,0.689043296,0.013905579,0.933431075,0.000193595,,-22,0.635617567,0.920412203
?E0_1,-0.571983578,,-18,1.669002228,171.1190525,0.7585,0.729681885,0.00028298,0.944295652,0.00905398,,-21,0.65503517,0.925002056
zmid_1,17,,-16.5,2.912386316,239.2408502,0.9468,0.777605111,0.007310103,0.958509722,2.84972E-05,,-20,0.677011491,0.930386965
n_1,3.033144489,,-15,4.229423247,301.1099038,1.0924,0.832935558,0.013869841,0.977395004,0.002334008,,-19,0.701813495,0.936743578
,,,-13.5,3.749562536,325.1446914,0.8969,0.894846618,9.90867E-07,1.002869124,0.002352273,,-18,0.729681885,0.944295652
Paq_2,0.883239724,,-12,4.366323737,335.092151,1.0134,0.961149811,0.000528532,1.037684947,0.000105773,,-17,0.760798535,0.95332814
?E0_2,-0.364138389,,-10.5,5.222141988,329.7126103,1.2318,1.028130396,0.006160994,1.085639284,0.003009033,,-16,0.795242504,0.964205487
zmid_2,-8.102598791,,-9,3.999199486,284.4671655,1.0934,1.090932639,9.62624E-07,1.151427821,0.000504346,,-15,0.832935558,0.977395004
n_2,2.636056867,,-7.5,3.916820992,233.0137027,1.3073,1.144614027,0.003331159,1.239252772,0.000538953,,-14,0.873581921,0.99349571
,,,-6,3.990941367,229.7219923,1.3511,1.185553727,0.003222408,1.348583936,6.55309E-07,,-13,0.916612506,1.01327163
,,,-4.5,4.021182361,238.0645755,1.3137,1.212542294,0.001210992,1.466851974,0.002293461,,-12,0.961149811,1.037684947
,,,-3,4.533915367,209.6984556,1.6815,1.227006725,0.018727903,1.566732856,0.000942608,,-11,1.006013473,1.067916433
,,,-1.5,4.299426877,193.1250516,1.7314,1.232385333,0.021800786,1.621954644,0.000804216,,-10,1.049784229,1.1053447
,,,0,3.877101884,197.3133755,1.5282,1.233139586,0.008680268,1.633551542,0.000838256,,-9,1.090932639,1.151427821
,,,1.5,3.255416404,211.8728901,1.195,1.232385333,0.000178987,1.621954644,0.017601541,,-8,1.127999314,1.207391833
,,,3,2.64731047,212.6004826,0.9684,1.227006725,0.010566229,1.566732856,0.043655995,,-7,1.159792112,1.27360481
,,,4.5,3.693466834,207.8261565,1.3822,1.212542294,0.003234651,1.466851974,0.000666435,,-6,1.185553727,1.348583936
,,,6,3.79953383,218.7038,1.3511,1.185553727,0.003222408,1.348583936,6.55309E-07,,-5,1.205058312,1.427893043
,,,7.5,2.563562717,210.9114221,0.9453,1.144614027,0.006903849,1.239252772,0.013827465,,-4,1.218617769,1.503777914
,,,9,2.466715556,213.7992175,0.8973,1.090932639,0.007201265,1.151427821,0.011728684,,-3,1.227006725,1.566732856
,,,10.5,2.68407511,220.6304527,0.9461,1.028130396,0.001304016,1.085639284,0.003569884,,-2,1.231336956,1.609212395
,,,12,2.998187712,225.0124392,1.0363,0.961149811,0.001068925,1.037684947,3.36422E-07,,-1,1.23291894,1.629529166
,,,13.5,2.881625965,218.4555713,1.0259,0.894846618,0.003523186,1.002869124,9.72348E-05,,0,1.233139586,1.633551542
,,,15,2.796010281,224.0327673,0.9706,0.832935558,0.004412797,0.977395004,9.17986E-06,,1,1.23291894,1.629529166
,,,16.5,2.637125979,233.7570822,0.8774,0.777605111,0.002749799,0.958509722,0.001474475,,2,1.231336956,1.609212395
,,,18,1.970177561,221.1424413,0.6929,0.729681885,0.000504587,0.944295652,0.018073422,,3,1.227006725,1.566732856
,,,19.5,1.581881513,203.0828409,0.6058,0.689043296,0.003126738,0.933431075,0.035251184,,4,1.218617769,1.503777914
,,,21,1.674424275,202.2358636,0.6439,0.65503517,5.54458E-05,0.925002056,0.024750927,,5,1.205058312,1.427893043
,,,22.5,1.456060756,185.5926587,0.6102,0.626783351,0.000135612,0.918370402,0.031522467,,6,1.185553727,1.348583936
,,,,,,,,,,,,7,1.159792112,1.27360481
,,,,,,O. Leaflet,Sqrt(Avg):,0.05961793,,,,8,1.127999314,1.207391833
,,,,,,I. Leaflet,,,Sqrt(Avg):,0.04787942,,9,1.090932639,1.151427821
,,,,,,,,,,,,10,1.049784229,1.1053447
,,,,,,,,,,,,11,1.006013473,1.067916433
,,,,,,,,,,,,12,0.961149811,1.037684947
,,,,,,,,,,,,13,0.916612506,1.01327163
,,,,,,,,,,,,14,0.873581921,0.99349571
,,,,,,,,,,,,15,0.832935558,0.977395004
,,,,,,,,,,,,16,0.795242504,0.964205487
,,,,,,,,,,,,17,0.760798535,0.95332814
,,,,,,,,,,,,18,0.729681885,0.944295652
,,,,,,,,,,,,19,0.701813495,0.936743578
,,,,,,,,,,,,20,0.677011491,0.930386965
,,,,,,,,,,,,21,0.65503517,0.925002056
,,,,,,,,,,,,22,0.635617567,0.920412203
,,,,,,,,,,,,23,0.618487791,0.916477122
,,,,,,,,,,,,24,0.603385192,0.91308471
