nTot =,4425,,binMid (?),"n_res,bin",n_bin,"p_res,bin (DATA)",p_z_1 (FIT),SqLgDif Err 1,p_z_2 (FIT),SqLgDif Err 2,,z,Pz_Outer,Pz_Inner
nRes=,267.7414912,,-22.5,1.82601897,37.14630579,0.8124,1.398623759,0.05566343,1.148033825,0.022555465,,-24,1.444146031,1.149543447
,,,-21,3.771154355,53.38306721,1.1675,1.350056687,0.003980994,1.145492732,6.83028E-05,,-23,1.414130674,1.14862384
Paq_1,2.276924951,,-19.5,7.930364195,104.6734919,1.2521,1.298358886,0.000248243,1.141072533,0.001626167,,-22,1.382778227,1.147332298
?E0_1,0.823463714,,-18,12.01274235,171.1190525,1.1602,1.243501448,0.000906819,1.133116089,0.000105236,,-21,1.350056687,1.145492732
zmid_1,15.27554245,,-16.5,18.47814856,239.2408502,1.2765,1.18553768,0.00103076,1.118325205,0.003300813,,-20,1.315942552,1.142833683
n_1,1.593301261,,-15,23.0497624,301.1099038,1.2651,1.124634934,0.002612568,1.090225878,0.004174241,,-19,1.280423479,1.13893118
,,,-13.5,21.27857992,325.1446914,1.0816,1.061113501,6.89703E-05,1.0373272,0.000329456,,-18,1.243501448,1.133116089
Paq_2,1.152260059,,-12,17.75003769,335.092151,0.8755,0.995492113,0.003111595,0.945591064,0.001118716,,-17,1.205196497,1.124326897
?E0_2,0.39606534,,-10.5,14.13412065,329.7126103,0.7085,0.928538296,0.013796843,0.817709071,0.003876178,,-16,1.165551059,1.110888639
zmid_2,-10.57833642,,-9,13.26270279,284.4671655,0.7705,0.861320156,0.002341783,0.696492715,0.001923354,,-15,1.124634934,1.090225878
n_2,6.888231796,,-7.5,10.49402982,233.0137027,0.7443,0.795255126,0.000827049,0.625084075,0.005747093,,-14,1.082550878,1.058636649
,,,-6,7.057790887,229.7219923,0.5078,0.732153176,0.025252151,0.598151046,0.005057794,,-13,1.03944075,1.011591068
,,,-4.5,8.167745279,238.0645755,0.567,0.674263569,0.005662056,0.591404868,0.000334957,,-12,0.995492113,0.945591064
,,,-3,8.169506576,209.6984556,0.6439,0.624375105,0.000178833,0.590378849,0.001420358,,-11,0.950945093,0.862482452
,,,-1.5,6.972971702,193.1250516,0.5967,0.58618493,5.96198E-05,0.590312358,2.18478E-05,,-10,0.906099247,0.773640593
,,,0,6.641618925,197.3133755,0.5563,0.566802017,6.59722E-05,0.590311791,0.000664217,,-9,0.861320156,0.696492715
,,,1.5,7.132612267,211.8728901,0.5564,0.58618493,0.000512911,0.590312358,0.00066022,,-8,0.817045478,0.642807399
,,,3,8.390825717,212.6004826,0.6523,0.624375105,0.000361068,0.590378849,0.001876327,,-7,0.773790428,0.612425048
,,,4.5,9.668562632,207.8261565,0.7689,0.674263569,0.003253581,0.591404868,0.012992572,,-6,0.732153176,0.598151046
,,,6,10.50997987,218.7038,0.7942,0.732153176,0.001248063,0.598151046,0.015158292,,-5,0.692821877,0.592565958
,,,7.5,8.743338544,210.9114221,0.6851,0.795255126,0.004192887,0.625084075,0.001585277,,-4,0.656587748,0.590797914
,,,9,9.348816112,213.7992175,0.7227,0.861320156,0.005807439,0.696492715,0.000257329,,-3,0.624375105,0.590378849
,,,10.5,12.01993789,220.6304527,0.9004,0.928538296,0.000178605,0.817709071,0.001750307,,-2,0.597318541,0.590315899
,,,12,13.86030206,225.0124392,1.018,0.995492113,9.42832E-05,0.945591064,0.001026845,,-1,0.57699812,0.590311826
,,,13.5,15.54081187,218.4555713,1.1757,1.061113501,0.001983338,1.0373272,0.002957266,,0,0.566802017,0.590311791
,,,15,16.48617315,224.0327673,1.2162,1.124634934,0.001155553,1.090225878,0.002255159,,1,0.57699812,0.590311826
,,,16.5,18.04788149,233.7570822,1.276,1.18553768,0.001019864,1.118325205,0.003281292,,2,0.597318541,0.590315899
,,,18,17.43471709,221.1424413,1.303,1.243501448,0.000412014,1.133116089,0.00368085,,3,0.624375105,0.590378849
,,,19.5,14.48080149,203.0828409,1.1785,1.298358886,0.001769478,1.141072533,0.000196458,,4,0.656587748,0.590797914
,,,21,15.10522238,202.2358636,1.2344,1.350056687,0.001512906,1.145492732,0.001053884,,5,0.692821877,0.592565958
,,,22.5,16.22833785,185.5926587,1.4451,1.398623759,0.000201555,1.148033825,0.009988647,,6,0.732153176,0.598151046
,,,,,,,,,,,,7,0.773790428,0.612425048
,,,,,,O. Leaflet,Sqrt(Avg):,0.038543415,,,,8,0.817045478,0.642807399
,,,,,,I. Leaflet,,,Sqrt(Avg):,0.057186207,,9,0.861320156,0.696492715
,,,,,,,,,,,,10,0.906099247,0.773640593
,,,,,,,,,,,,11,0.950945093,0.862482452
,,,,,,,,,,,,12,0.995492113,0.945591064
,,,,,,,,,,,,13,1.03944075,1.011591068
,,,,,,,,,,,,14,1.082550878,1.058636649
,,,,,,,,,,,,15,1.124634934,1.090225878
,,,,,,,,,,,,16,1.165551059,1.110888639
,,,,,,,,,,,,17,1.205196497,1.124326897
,,,,,,,,,,,,18,1.243501448,1.133116089
,,,,,,,,,,,,19,1.280423479,1.13893118
,,,,,,,,,,,,20,1.315942552,1.142833683
,,,,,,,,,,,,21,1.350056687,1.145492732
,,,,,,,,,,,,22,1.382778227,1.147332298
,,,,,,,,,,,,23,1.414130674,1.14862384
,,,,,,,,,,,,24,1.444146031,1.149543447
