nTot =,4425,,binMid (?),"n_res,bin",n_bin,"p_res,bin (DATA)",p_z_1 (FIT),SqLgDif Err 1,p_z_2 (FIT),SqLgDif Err 2,,z,Pz_Outer,Pz_Inner
nRes=,149.335331,,-22.5,2.202127983,37.14630579,1.7566,0.836206534,0.103915532,1.640414374,0.000883238,,-24,0.836206539,1.701197653
,,,-21,2.906063754,53.38306721,1.6131,0.83620652,0.081423334,1.576520984,9.92322E-05,,-23,0.836206536,1.661021525
Paq_1,0.836206544,,-19.5,4.994004352,104.6734919,1.4137,0.836206488,0.052003941,1.509566852,0.00081197,,-22,0.83620653,1.619461151
?E0_1,0.007984234,,-18,7.999524496,171.1190525,1.3852,0.836206399,0.0480482,1.439682918,0.000280709,,-21,0.83620652,1.576520984
zmid_1,6.897021319,,-16.5,10.73105501,239.2408502,1.3291,0.836206142,0.04049927,1.367105383,0.000149924,,-20,0.836206502,1.532218818
n_1,11.74164291,,-15,14.34188792,301.1099038,1.4113,0.836205314,0.051668208,1.292203033,0.001466016,,-19,0.836206467,1.48658849
,,,-13.5,14.65192488,325.1446914,1.3353,0.836202306,0.041317672,1.215507548,0.001666369,,-18,0.836206399,1.439682918
Paq_2,3,,-12,13.5609954,335.092151,1.1992,0.836189665,0.024519434,1.137745434,0.000521963,,-17,0.836206261,1.391577469
?E0_2,0.89783862,,-10.5,10.26874807,329.7126103,0.9229,0.836126046,0.001838943,1.059869543,0.003611741,,-16,0.836205967,1.342373645
zmid_2,-17.29092367,,-9,7.497091783,284.4671655,0.7809,0.8357321,0.000868579,0.983087862,0.009999382,,-15,0.836205314,1.292203033
n_2,1.569017748,,-7.5,6.275907043,233.0137027,0.7981,0.833144637,0.000348311,0.908888452,0.003186972,,-14,0.836203778,1.241231462
,,,-6,7.614697778,229.7219923,0.9822,0.826823039,0.005593149,0.839064454,0.00467919,,-13,0.836199944,1.189663253
,,,-4.5,9.080523294,238.0645755,1.1302,0.825081191,0.018675577,0.775758012,0.026709049,,-12,0.836189665,1.137745434
,,,-3,5.418241688,209.6984556,0.7656,0.825008388,0.00105342,0.721586763,0.000661177,,-11,0.836159783,1.085771787
,,,-1.5,2.730962537,193.1250516,0.419,0.825007756,0.086579536,0.68009618,0.044249778,,-10,0.836064581,1.034086571
,,,0,5.38179926,197.3133755,0.8082,0.825007756,7.9909E-05,0.658655555,0.007896186,,-9,0.8357321,0.983087862
,,,1.5,8.702698378,211.8728901,1.2171,0.825007756,0.028516479,0.68009618,0.063885559,,-8,0.834527523,0.933230585
,,,3,6.11478967,212.6004826,0.8523,0.825008388,0.000199773,0.721586763,0.005227858,,-7,0.831074385,0.885029672
,,,4.5,4.175308325,207.8261565,0.5953,0.825081191,0.020096126,0.775758012,0.013222789,,-6,0.826823039,0.839064454
,,,6,5.41823195,218.7038,0.7341,0.826823039,0.002668481,0.839064454,0.003368653,,-5,0.825256793,0.79598672
,,,7.5,6.31334096,210.9114221,0.887,0.833144637,0.000740015,0.908888452,0.000112084,,-4,0.825026267,0.756537772
,,,9,6.909804568,213.7992175,0.9577,0.8357321,0.00350019,0.983087862,0.000129114,,-3,0.825008388,0.721586763
,,,10.5,6.733587972,220.6304527,0.9043,0.836126046,0.001158775,1.059869543,0.004752707,,-2,0.825007761,0.69222387
,,,12,5.61665791,225.0124392,0.7396,0.836189665,0.002841731,1.137745434,0.034987029,,-1,0.825007756,0.670032805
,,,13.5,4.592363383,218.4555713,0.6229,0.836202306,0.016356627,1.215507548,0.084296926,,0,0.825007756,0.658655555
,,,15,6.053008261,224.0327673,0.8006,0.836205314,0.000357109,1.292203033,0.043228718,,1,0.825007756,0.670032805
,,,16.5,5.48774486,233.7570822,0.6956,0.836206142,0.006392607,1.367105383,0.086108454,,2,0.825007761,0.69222387
,,,18,5.190662848,221.1424413,0.6955,0.836206399,0.006402617,1.439682918,0.099836862,,3,0.825008388,0.721586763
,,,19.5,7.211327602,203.0828409,1.0522,0.836206488,0.009956999,1.509566852,0.024571833,,4,0.825026267,0.756537772
,,,21,6.591338327,202.2358636,0.9658,0.83620652,0.003915462,1.576520984,0.045289183,,5,0.825256793,0.79598672
,,,22.5,6.542572974,185.5926587,1.0446,0.836206534,0.009338606,1.640414374,0.038417389,,6,0.826823039,0.839064454
,,,,,,,,,,,,7,0.831074385,0.885029672
,,,,,,O. Leaflet,Sqrt(Avg):,0.083860564,,,,8,0.834527523,0.933230585
,,,,,,I. Leaflet,,,Sqrt(Avg):,0.081728551,,9,0.8357321,0.983087862
,,,,,,,,,,,,10,0.836064581,1.034086571
,,,,,,,,,,,,11,0.836159783,1.085771787
,,,,,,,,,,,,12,0.836189665,1.137745434
,,,,,,,,,,,,13,0.836199944,1.189663253
,,,,,,,,,,,,14,0.836203778,1.241231462
,,,,,,,,,,,,15,0.836205314,1.292203033
,,,,,,,,,,,,16,0.836205967,1.342373645
,,,,,,,,,,,,17,0.836206261,1.391577469
,,,,,,,,,,,,18,0.836206399,1.439682918
,,,,,,,,,,,,19,0.836206467,1.48658849
,,,,,,,,,,,,20,0.836206502,1.532218818
,,,,,,,,,,,,21,0.83620652,1.576520984
,,,,,,,,,,,,22,0.83620653,1.619461151
,,,,,,,,,,,,23,0.836206536,1.661021525
,,,,,,,,,,,,24,0.836206539,1.701197653
