nTot =,4425,,binMid (?),"n_res,bin",n_bin,"p_res,bin (DATA)",p_z_1 (FIT),SqLgDif Err 1,p_z_2 (FIT),SqLgDif Err 2,,z,Pz_Outer,Pz_Inner
nRes=,173.8171689,,-22.5,2.07735523,37.14630579,1.4237,1.120049761,0.010853716,1.385771919,0.000137516,,-24,1.120049762,1.422901164
,,,-21,2.86956703,53.38306721,1.3685,1.120049754,0.007570303,1.345284852,5.52131E-05,,-23,1.120049762,1.398512457
Paq_1,1.120049763,,-19.5,5.299423667,104.6734919,1.2889,1.120049715,0.003718795,1.30129372,1.72733E-05,,-22,1.12004976,1.372657878
?E0_1,0.253684892,,-18,8.396206811,171.1190525,1.2491,1.120049469,0.00224297,1.253737362,2.59004E-06,,-21,1.120049754,1.345284852
zmid_1,9.610424293,,-16.5,9.901164336,239.2408502,1.0536,1.120047625,0.000705472,1.202684401,0.003303481,,-20,1.120049736,1.316352739
n_1,22.79588661,,-15,13.67341872,301.1099038,1.156,1.120030991,0.000188452,1.148389007,8.23006E-06,,-19,1.120049677,1.285837508
,,,-13.5,16.37108887,325.1446914,1.2818,1.119842567,0.003441382,1.091355545,0.004879582,,-18,1.120049469,1.253737362
Paq_2,1.896731961,,-12,13.86378993,335.092151,1.0533,1.117034338,0.000650987,1.032405727,7.57192E-05,,-17,1.12004868,1.220079375
?E0_2,0.588659159,,-10.5,10.88028859,329.7126103,0.8401,1.065147783,0.010625256,0.97273617,0.004053115,,-16,1.120045452,1.1849271
zmid_2,-15.14717687,,-9,10.33859199,284.4671655,0.9252,0.789297554,0.004760292,0.913948084,2.82396E-05,,-15,1.120030991,1.148389007
n_2,1.954429052,,-7.5,8.14662764,233.0137027,0.8901,0.730867998,0.007327335,0.858027291,0.00025401,,-14,1.119959301,1.110627444
,,,-6,7.431067651,229.7219923,0.8235,0.729780457,0.002753245,0.807256439,7.48586E-05,,-13,1.119560318,1.071867603
,,,-4.5,7.934403272,238.0645755,0.8485,0.729773687,0.004285489,0.764055973,0.002072678,,-12,1.117034338,1.032405727
,,,-3,5.316764113,209.6984556,0.6455,0.729773678,0.002840032,0.730775412,0.002903882,,-11,1.099134224,0.99261552
,,,-1.5,4.659108742,193.1250516,0.6142,0.729773678,0.005606772,0.709487263,0.003923117,,-10,0.99010783,0.952951522
,,,0,6.354942526,197.3133755,0.8199,0.729773678,0.002557597,0.70192574,0.004552163,,-9,0.789297554,0.913948084
,,,1.5,7.126115007,211.8728901,0.8562,0.729773678,0.00481456,0.709487263,0.006663558,,-8,0.734495329,0.876212708
,,,3,6.715239589,212.6004826,0.8041,0.729773678,0.001774252,0.730775412,0.00172442,,-7,0.730001216,0.840412897
,,,4.5,5.398501448,207.8261565,0.6613,0.729773687,0.001830957,0.764055973,0.003934633,,-6,0.729780457,0.807256439
,,,6,5.036021673,218.7038,0.5862,0.729780457,0.00905284,0.807256439,0.019311467,,-5,0.729773784,0.777466048
,,,7.5,5.697811034,210.9114221,0.6877,0.730867998,0.000699069,0.858027291,0.009235609,,-4,0.729773678,0.751750482
,,,9,6.679116531,213.7992175,0.7953,0.789297554,1.08256E-05,0.913948084,0.003647018,,-3,0.729773678,0.730775412
,,,10.5,9.085578248,220.6304527,1.0484,1.065147783,4.73737E-05,0.97273617,0.001058328,,-2,0.729773678,0.715138755
,,,12,11.03652219,225.0124392,1.2487,1.117034338,0.002341746,1.032405727,0.006824033,,-1,0.729773678,0.705359359
,,,13.5,10.1819776,218.4555713,1.1866,1.119842567,0.00063239,1.091355545,0.001320456,,0,0.729773678,0.70192574
,,,15,10.51055424,224.0327673,1.1944,1.120030991,0.000779513,1.148389007,0.00029107,,1,0.729773678,0.705359359
,,,16.5,12.02404951,233.7570822,1.3095,1.120047625,0.004606203,1.202684401,0.001365585,,2,0.729773678,0.715138755
,,,18,11.63040971,221.1424413,1.3389,1.120049469,0.006007945,1.253737362,0.000814621,,3,0.729773678,0.730775412
,,,19.5,8.573171863,203.0828409,1.0747,1.120049715,0.000322204,1.30129372,0.00690363,,4,0.729773678,0.751750482
,,,21,6.85574211,202.2358636,0.863,1.120049754,0.012820245,1.345284852,0.037173173,,5,0.729773784,0.777466048
,,,22.5,6.341962205,185.5926587,0.8699,1.120049761,0.012049011,1.385771919,0.04089391,,6,0.729780457,0.807256439
,,,,,,,,,,,,7,0.730001216,0.840412897
,,,,,,O. Leaflet,Sqrt(Avg):,0.061413929,,,,8,0.734495329,0.876212708
,,,,,,I. Leaflet,,,Sqrt(Avg):,0.040575291,,9,0.789297554,0.913948084
,,,,,,,,,,,,10,0.99010783,0.952951522
,,,,,,,,,,,,11,1.099134224,0.99261552
,,,,,,,,,,,,12,1.117034338,1.032405727
,,,,,,,,,,,,13,1.119560318,1.071867603
,,,,,,,,,,,,14,1.119959301,1.110627444
,,,,,,,,,,,,15,1.120030991,1.148389007
,,,,,,,,,,,,16,1.120045452,1.1849271
,,,,,,,,,,,,17,1.12004868,1.220079375
,,,,,,,,,,,,18,1.120049469,1.253737362
,,,,,,,,,,,,19,1.120049677,1.285837508
,,,,,,,,,,,,20,1.120049736,1.316352739
,,,,,,,,,,,,21,1.120049754,1.345284852
,,,,,,,,,,,,22,1.12004976,1.372657878
,,,,,,,,,,,,23,1.120049762,1.398512457
,,,,,,,,,,,,24,1.120049762,1.422901164
