nTot =,4425,,binMid (?),"n_res,bin",n_bin,"p_res,bin (DATA)",p_z_1 (FIT),SqLgDif Err 1,p_z_2 (FIT),SqLgDif Err 2,,z,Pz_Outer,Pz_Inner
nRes=,209.0729936,,-22.5,1.947396501,37.14630579,1.1096,1.24009104,0.002331646,1.000682234,0.00201334,,-24,1.240092524,1.000682234
,,,-21,2.611835671,53.38306721,1.0355,1.240086043,0.006131159,1.000682234,0.000220639,,-23,1.240091735,1.000682234
Paq_1,1.240093262,,-19.5,4.757765428,104.6734919,0.962,1.240067672,0.012159542,1.000682234,0.000293133,,-22,1.24009,1.000682234
?E0_1,0.290940371,,-18,8.08075435,171.1190525,0.9995,1.239992891,0.008767775,1.000682233,2.6357E-07,,-21,1.240086043,1.000682234
zmid_1,10.80758327,,-16.5,10.54758149,239.2408502,0.9331,1.239650076,0.015220384,1.000682232,0.000922215,,-20,1.240076654,1.000682234
n_1,17.07611348,,-15,12.37466208,301.1099038,0.8698,1.237845216,0.023484624,1.000682198,0.003705981,,-19,1.240053387,1.000682234
,,,-13.5,15.21560553,325.1446914,0.9904,1.226812992,0.008643,1.0006814,2.0117E-05,,-18,1.239992891,1.000682233
Paq_2,1.000682234,,-12,17.3795036,335.092151,1.0977,1.155719266,0.000500358,1.000653707,0.001616028,,-17,1.239826974,1.000682233
?E0_2,0.161424025,,-10.5,16.06654342,329.7126103,1.0313,0.914089305,0.002745382,0.999125421,0.000189475,,-16,1.239344199,1.000682229
zmid_2,-8.84092276,,-9,12.15046565,284.4671655,0.904,0.774568893,0.004503535,0.904836373,1.61298E-07,,-15,1.237845216,1.000682198
n_2,30,,-7.5,8.434448473,233.0137027,0.7661,0.759448513,1.43423E-05,0.763405752,2.34101E-06,,-14,1.232865653,1.000681954
,,,-6,8.924536921,229.7219923,0.8222,0.758737892,0.001217012,0.761922873,0.001093391,,-13,1.215402243,1.000679649
,,,-4.5,8.833086915,238.0645755,0.7853,0.758721899,0.000223592,0.761921024,0.000172282,,-12,1.155719266,1.000653707
,,,-3,6.620570905,209.6984556,0.6682,0.75872178,0.0030444,0.761921024,0.003249397,,-11,1.006288685,1.000294745
,,,-1.5,6.709370935,193.1250516,0.7353,0.75872178,0.00018545,0.761921024,0.00023856,,-10,0.841097199,0.994095697
,,,0,7.520473595,197.3133755,0.8067,0.75872178,0.000709131,0.761921024,0.000615144,,-9,0.774568893,0.904836373
,,,1.5,8.61545749,211.8728901,0.8606,0.75872178,0.002994146,0.761921024,0.002797499,,-8,0.760903073,0.771849455
,,,3,8.373915532,212.6004826,0.8336,0.75872178,0.001670778,0.761921024,0.001524727,,-7,0.758945736,0.762109432
,,,4.5,7.720152317,207.8261565,0.7862,0.758721899,0.000238715,0.761921024,0.000185588,,-6,0.758737892,0.761922873
,,,6,7.281188933,218.7038,0.7046,0.758737892,0.001033567,0.761922873,0.00115385,,-5,0.758722496,0.761921032
,,,7.5,6.085037877,210.9114221,0.6106,0.759448513,0.008975959,0.763405752,0.009408734,,-4,0.758721796,0.761921024
,,,9,7.510831848,213.7992175,0.7435,0.774568893,0.000316096,0.904836373,0.007274227,,-3,0.75872178,0.761921024
,,,10.5,9.863071176,220.6304527,0.9462,0.914089305,0.00022483,0.999125421,0.000558711,,-2,0.75872178,0.761921024
,,,12,11.43076234,225.0124392,1.0752,1.155719266,0.000983644,1.000653707,0.00097378,,-1,0.75872178,0.761921024
,,,13.5,14.02651907,218.4555713,1.3589,1.226812992,0.001972171,1.0006814,0.017660196,,0,0.75872178,0.761921024
,,,15,15.13475286,224.0327673,1.4298,1.237845216,0.003919881,1.000682198,0.024018527,,1,0.75872178,0.761921024
,,,16.5,15.36037982,233.7570822,1.3908,1.239650076,0.002496558,1.000682232,0.02043999,,2,0.75872178,0.761921024
,,,18,14.68479074,221.1424413,1.4054,1.239992891,0.002957266,1.000682233,0.021757359,,3,0.75872178,0.761921024
,,,19.5,11.28352894,203.0828409,1.1759,1.240067672,0.000532455,1.000682234,0.004910394,,4,0.758721796,0.761921024
,,,21,10.36576622,202.2358636,1.0848,1.240086043,0.003375859,1.000682234,0.001228747,,5,0.758722496,0.761921032
,,,22.5,8.502953264,185.5926587,0.9697,1.24009104,0.011409695,1.000682234,0.000186563,,6,0.758737892,0.761922873
,,,,,,,,,,,,7,0.758945736,0.762109432
,,,,,,O. Leaflet,Sqrt(Avg):,0.052327545,,,,8,0.760903073,0.771849455
,,,,,,I. Leaflet,,,Sqrt(Avg):,0.029950448,,9,0.774568893,0.904836373
,,,,,,,,,,,,10,0.841097199,0.994095697
,,,,,,,,,,,,11,1.006288685,1.000294745
,,,,,,,,,,,,12,1.155719266,1.000653707
,,,,,,,,,,,,13,1.215402243,1.000679649
,,,,,,,,,,,,14,1.232865653,1.000681954
,,,,,,,,,,,,15,1.237845216,1.000682198
,,,,,,,,,,,,16,1.239344199,1.000682229
,,,,,,,,,,,,17,1.239826974,1.000682233
,,,,,,,,,,,,18,1.239992891,1.000682233
,,,,,,,,,,,,19,1.240053387,1.000682234
,,,,,,,,,,,,20,1.240076654,1.000682234
,,,,,,,,,,,,21,1.240086043,1.000682234
,,,,,,,,,,,,22,1.24009,1.000682234
,,,,,,,,,,,,23,1.240091735,1.000682234
,,,,,,,,,,,,24,1.240092524,1.000682234
