nTot =,4425,,binMid (?),"n_res,bin",n_bin,"p_res,bin (DATA)",p_z_1 (FIT),SqLgDif Err 1,p_z_2 (FIT),SqLgDif Err 2,,z,Pz_Outer,Pz_Inner
nRes=,315.6863185,,-22.5,2.718109114,37.14630579,1.0257,1.225922492,0.005997365,1.092591298,0.00075281,,-24,1.228071535,1.092979674
,,,-21,3.910020828,53.38306721,1.0267,1.222141484,0.005727148,1.091779352,0.000712426,,-23,1.226773519,1.092752525
Paq_1,1.231477403,,-19.5,8.699667546,104.6734919,1.165,1.215288566,0.00033685,1.089997219,0.000835241,,-22,1.224895545,1.092385335
?E0_1,0.234408808,,-18,14.13255088,171.1190525,1.1577,1.202558676,0.000272588,1.08588403,0.00077354,,-21,1.222141484,1.091779352
zmid_1,12.57048633,,-16.5,18.38053548,239.2408502,1.0769,1.178709118,0.001539092,1.075974837,1.39325E-07,,-20,1.218049029,1.090757188
n_1,7.66245537,,-15,22.76151294,301.1099038,1.0596,1.135391205,0.000900215,1.051917037,9.98851E-06,,-19,1.211895065,1.088993785
,,,-13.5,22.8893222,325.1446914,0.9868,1.065111672,0.001099984,0.999113222,2.90043E-05,,-18,1.202558676,1.08588403
Paq_2,1.093405115,,-12,21.41662229,335.092151,0.8959,0.975740955,0.001374555,0.916360347,9.61724E-05,,-17,1.188352862,1.080295775
?E0_2,0.18081642,,-10.5,20.90406399,329.7126103,0.8887,0.897627158,1.88426E-05,0.845928008,0.000458892,,-16,1.166909785,1.070151512
zmid_2,-12.38329875,,-9,16.24408736,284.4671655,0.8004,0.852800544,0.000758473,0.81526326,6.38527E-05,,-15,1.135391205,1.051917037
n_2,10.07078281,,-7.5,12.78579305,233.0137027,0.7691,0.835100354,0.001278481,0.807267196,0.00044245,,-14,1.091577913,1.020754514
,,,-6,12.80548721,229.7219923,0.7814,0.830054397,0.000688178,0.805865417,0.000179268,,-13,1.036272294,0.973613878
,,,-4.5,13.15333713,238.0645755,0.7745,0.829048052,0.000873692,0.805708048,0.000294338,,-12,0.975740955,0.916360347
,,,-3,12.51847345,209.6984556,0.8368,0.828928518,1.68477E-05,0.805699007,0.000270564,,-11,0.920425138,0.865038948
,,,-1.5,11.33705845,193.1250516,0.8228,0.828922945,1.03676E-05,0.805698852,8.32025E-05,,-10,0.878824511,0.831713382
,,,0,11.92196061,197.3133755,0.8469,0.828922917,8.68249E-05,0.805698852,0.000469129,,-9,0.852800544,0.81526326
,,,1.5,12.96653737,211.8728901,0.8578,0.828922945,0.000221173,0.805698852,0.000740564,,-8,0.838955177,0.808688154
,,,3,12.98126322,212.6004826,0.8559,0.828928518,0.000193375,0.805699007,0.000689073,,-7,0.832586609,0.806483843
,,,4.5,13.10017503,207.8261565,0.8836,0.829048052,0.000765961,0.805708048,0.001606247,,-6,0.830054397,0.805865417
,,,6,12.7808993,218.7038,0.8191,0.830054397,3.32886E-05,0.805865417,5.00472E-05,,-5,0.82920335,0.805725421
,,,7.5,10.46145001,210.9114221,0.6953,0.835100354,0.006330818,0.807267196,0.004204884,,-4,0.828973675,0.80570166
,,,9,12.94628452,213.7992175,0.8488,0.852800544,4.17016E-06,0.81526326,0.000306513,,-3,0.828928518,0.805699007
,,,10.5,15.31553751,220.6304527,0.973,0.897627158,0.00122618,0.845928008,0.00369414,,-2,0.828923168,0.805698855
,,,12,15.58126803,225.0124392,0.9706,0.975740955,5.26357E-06,0.916360347,0.000623701,,-1,0.828922918,0.805698852
,,,13.5,15.59329993,218.4555713,1.0005,1.065111672,0.000738646,0.999113222,3.6287E-07,,0,0.828922917,0.805698852
,,,15,18.18196407,224.0327673,1.1376,1.135391205,7.12433E-07,1.051917037,0.00115655,,1,0.828922918,0.805698852
,,,16.5,21.37220207,233.7570822,1.2816,1.178709118,0.001321021,1.075974837,0.005768461,,2,0.828923168,0.805698855
,,,18,19.02694144,221.1424413,1.206,1.202558676,1.54016E-06,1.08588403,0.002076065,,3,0.828928518,0.805699007
,,,19.5,16.20249449,203.0828409,1.1183,1.215288566,0.001304733,1.089997219,0.000123942,,4,0.828973675,0.80570166
,,,21,18.05210281,202.2358636,1.2512,1.222141484,0.000104147,1.091779352,0.003503676,,5,0.82920335,0.805725421
,,,22.5,16.36555836,185.5926587,1.236,1.225922492,1.26413E-05,1.092591298,0.002868752,,6,0.830054397,0.805865417
,,,,,,,,,,,,7,0.832586609,0.806483843
,,,,,,O. Leaflet,Sqrt(Avg):,0.027783197,,,,8,0.838955177,0.808688154
,,,,,,I. Leaflet,,,Sqrt(Avg):,0.018491584,,9,0.852800544,0.81526326
,,,,,,,,,,,,10,0.878824511,0.831713382
,,,,,,,,,,,,11,0.920425138,0.865038948
,,,,,,,,,,,,12,0.975740955,0.916360347
,,,,,,,,,,,,13,1.036272294,0.973613878
,,,,,,,,,,,,14,1.091577913,1.020754514
,,,,,,,,,,,,15,1.135391205,1.051917037
,,,,,,,,,,,,16,1.166909785,1.070151512
,,,,,,,,,,,,17,1.188352862,1.080295775
,,,,,,,,,,,,18,1.202558676,1.08588403
,,,,,,,,,,,,19,1.211895065,1.088993785
,,,,,,,,,,,,20,1.218049029,1.090757188
,,,,,,,,,,,,21,1.222141484,1.091779352
,,,,,,,,,,,,22,1.224895545,1.092385335
,,,,,,,,,,,,23,1.226773519,1.092752525
,,,,,,,,,,,,24,1.228071535,1.092979674
