nTot =,4425,,binMid (?),"n_res,bin",n_bin,"p_res,bin (DATA)",p_z_1 (FIT),SqLgDif Err 1,p_z_2 (FIT),SqLgDif Err 2,,z,Pz_Outer,Pz_Inner
nRes=,284.0076688,,-22.5,1.428095179,37.14630579,0.599,1.025831422,0.054591937,0.85163632,0.0233562,,-24,1.025831422,0.848846211
,,,-21,2.823951921,53.38306721,0.8242,1.025831422,0.009033246,0.854659347,0.000248391,,-23,1.025831422,0.850681706
Paq_1,1.025831422,,-19.5,6.625600715,104.6734919,0.9862,1.025831422,0.000292786,0.857944076,0.003660978,,-22,1.025831422,0.852616782
?E0_1,0.114441675,,-18,10.19142436,171.1190525,0.9279,1.025831422,0.001898765,0.861523942,0.001039019,,-21,1.025831422,0.854659347
zmid_1,8.656469276,,-16.5,15.60972704,239.2408502,1.0166,1.025831421,1.54126E-05,0.865437931,0.004887992,,-20,1.025831422,0.856818129
n_1,30,,-15,18.39281291,301.1099038,0.9517,1.025831408,0.001061191,0.869731649,0.001529967,,-19,1.025831422,0.85910277
,,,-13.5,19.15020433,325.1446914,0.9177,1.0258311,0.002340153,0.874458588,0.000439384,,-18,1.025831422,0.861523942
Paq_2,0.784564946,,-12,20.71058422,335.092151,0.963,1.025820407,0.000753231,0.879681585,0.001544552,,-17,1.025831422,0.864093478
?E0_2,-0.112699061,,-10.5,19.66915503,329.7126103,0.9295,1.025228442,0.001812311,0.885474415,0.000444087,,-16,1.02583142,0.866824513
zmid_2,-17.46129411,,-9,15.17281227,284.4671655,0.831,0.979849221,0.00512058,0.891923304,0.000944117,,-15,1.025831408,0.869731649
n_2,1.095184099,,-7.5,10.99879685,233.0137027,0.7354,0.847748862,0.003812271,0.899127834,0.007620909,,-14,1.025831314,0.872831136
,,,-6,12.04602629,229.7219923,0.817,0.845565788,0.000222766,0.907199794,0.002068511,,-13,1.025830424,0.876141066
,,,-4.5,14.81672041,238.0645755,0.9697,0.84556305,0.003539227,0.916256141,0.000606169,,-12,1.025820407,0.879681585
,,,-3,13.63089339,209.6984556,1.0128,0.845563049,0.006143063,0.926394183,0.001499848,,-11,1.025681698,0.883475105
,,,-1.5,11.15133759,193.1250516,0.8996,0.845563049,0.000723796,0.937600735,0.000322867,,-10,1.023253939,0.887546509
,,,0,12.10252971,197.3133755,0.9557,0.845563049,0.002827643,0.949032077,9.24582E-06,,-9,0.979849221,0.891923304
,,,1.5,13.08979657,211.8728901,0.9626,0.845563049,0.003169674,0.937600735,0.000130597,,-8,0.859701416,0.896635677
,,,3,11.12393924,212.6004826,0.8152,0.845563049,0.000252232,0.926394183,0.003083764,,-7,0.845841871,0.901716314
,,,4.5,10.55533863,207.8261565,0.7913,0.84556305,0.000829718,0.916256141,0.004054599,,-6,0.845565788,0.907199794
,,,6,11.13806697,218.7038,0.7935,0.845565788,0.000761786,0.907199794,0.003382122,,-5,0.845563061,0.913121068
,,,7.5,10.50659372,210.9114221,0.7761,0.847748862,0.001470687,0.899127834,0.00408369,,-4,0.845563049,0.919512088
,,,9,13.52227295,213.7992175,0.9854,0.979849221,6.01871E-06,0.891923304,0.001873595,,-3,0.845563049,0.926394183
,,,10.5,15.20905014,220.6304527,1.074,1.025228442,0.000407379,0.885474415,0.007027178,,-2,0.845563049,0.933759371
,,,12,15.33510577,225.0124392,1.0619,1.025820407,0.000225369,0.879681585,0.00668439,,-1,0.845563049,0.941512759
,,,13.5,13.95281534,218.4555713,0.9951,1.0258311,0.000174481,0.874458588,0.003150294,,0,0.845563049,0.949032077
,,,15,15.18140649,224.0327673,1.0558,1.025831408,0.000156392,0.869731649,0.007089031,,1,0.845563049,0.941512759
,,,16.5,17.76467492,233.7570822,1.1841,1.025831421,0.003882833,0.865437931,0.018537491,,2,0.845563049,0.933759371
,,,18,16.14848464,221.1424413,1.1377,1.025831422,0.002020661,0.861523942,0.014583076,,3,0.845563049,0.926394183
,,,19.5,12.47645068,203.0828409,0.9572,1.025831422,0.000904404,0.857944076,0.002260404,,4,0.845563049,0.919512088
,,,21,10.8470569,202.2358636,0.8357,1.025831422,0.007925557,0.854659347,9.49191E-05,,5,0.845563061,0.913121068
,,,22.5,11.56376533,185.5926587,0.9708,1.025831422,0.000573422,0.85163632,0.003234833,,6,0.845565788,0.907199794
,,,,,,,,,,,,7,0.845841871,0.901716314
,,,,,,O. Leaflet,Sqrt(Avg):,0.039990825,,,,8,0.859701416,0.896635677
,,,,,,I. Leaflet,,,Sqrt(Avg):,0.056025796,,9,0.979849221,0.891923304
,,,,,,,,,,,,10,1.023253939,0.887546509
,,,,,,,,,,,,11,1.025681698,0.883475105
,,,,,,,,,,,,12,1.025820407,0.879681585
,,,,,,,,,,,,13,1.025830424,0.876141066
,,,,,,,,,,,,14,1.025831314,0.872831136
,,,,,,,,,,,,15,1.025831408,0.869731649
,,,,,,,,,,,,16,1.02583142,0.866824513
,,,,,,,,,,,,17,1.025831422,0.864093478
,,,,,,,,,,,,18,1.025831422,0.861523942
,,,,,,,,,,,,19,1.025831422,0.85910277
,,,,,,,,,,,,20,1.025831422,0.856818129
,,,,,,,,,,,,21,1.025831422,0.854659347
,,,,,,,,,,,,22,1.025831422,0.852616782
,,,,,,,,,,,,23,1.025831422,0.850681706
,,,,,,,,,,,,24,1.025831422,0.848846211
