nTot =,4425,,binMid (?),"n_res,bin",n_bin,"p_res,bin (DATA)",p_z_1 (FIT),SqLgDif Err 1,p_z_2 (FIT),SqLgDif Err 2,,z,Pz_Outer,Pz_Inner
nRes=,266.5471727,,-22.5,1.15391633,37.14630579,0.5157,0.619522219,0.006345677,0.457497941,0.002704831,,-24,0.602152358,0.442229019
,,,-21,1.493480951,53.38306721,0.4644,0.641651187,0.019714067,0.477506818,0.000146104,,-23,0.613267171,0.451953091
Paq_1,0.518588289,,-19.5,2.850034963,104.6734919,0.452,0.670075969,0.029236078,0.504038467,0.002239679,,-22,0.626302861,0.46356524
?E0_1,-0.664055289,,-18,5.588523955,171.1190525,0.5422,0.706822799,0.013259761,0.539589576,4.39306E-06,,-21,0.641651187,0.477506818
zmid_1,13.26887409,,-16.5,7.890776007,239.2408502,0.5475,0.754471019,0.019392913,0.587575318,0.000941227,,-20,0.659787513,0.494332771
n_1,3.15997803,,-15,12.22264426,301.1099038,0.6739,0.816073544,0.006911236,0.65241094,0.000198084,,-19,0.681284411,0.51473867
,,,-13.5,15.09459897,325.1446914,0.7707,0.894715881,0.004199012,0.739122995,0.0003301,,-18,0.706822799,0.539589576
Paq_2,0.376988129,,-12,17.33283785,335.092151,0.8587,0.99237737,0.003948286,0.851820217,1.22047E-05,,-17,0.737195679,0.569945398
?E0_2,-0.841569483,,-10.5,20.97823314,329.7126103,1.0563,1.107850596,0.000428238,0.99031139,0.000784869,,-16,0.773295825,0.607071241
zmid_2,-13.09012564,,-9,19.21364285,284.4671655,1.1213,1.23423355,0.001736849,1.145519146,8.61282E-05,,-15,0.816073544,0.65241094
n_2,3.410321993,,-7.5,17.17977662,233.0137027,1.224,1.358052285,0.002037175,1.297713883,0.000645035,,-14,0.866444726,0.707487462
,,,-6,18.9132911,229.7219923,1.3668,1.462712549,0.000867539,1.422947152,0.000305683,,-13,0.925125742,0.7736792
,,,-4.5,21.46142832,238.0645755,1.4966,1.535892614,0.000126678,1.505767342,7.03381E-06,,-12,0.99237737,0.851820217
,,,-3,21.02829527,209.6984556,1.6647,1.575560125,0.000571258,1.547002538,0.001014101,,-11,1.067665957,0.941613702
,,,-1.5,18.92170397,193.1250516,1.6265,1.589776602,9.83661E-05,1.560062475,0.000328047,,-10,1.149306684,1.040964293
,,,0,17.60618056,197.3133755,1.4813,1.591592988,0.000972753,1.561433649,0.000523518,,-9,1.23423355,1.145519146
,,,1.5,19.29569886,211.8728901,1.5119,1.589776602,0.000475808,1.560062475,0.000185475,,-8,1.318097129,1.248842242
,,,3,21.07395901,212.6004826,1.6456,1.575560125,0.000356806,1.547002538,0.000720023,,-7,1.395842048,1.343513522
,,,4.5,21.22983377,207.8261565,1.6958,1.535892614,0.001850185,1.505767342,0.00266429,,-6,1.462712549,1.422947152
,,,6,20.39314156,218.7038,1.548,1.462712549,0.000605749,1.422947152,0.001338256,,-5,1.515361813,1.483161106
,,,7.5,16.94051703,210.9114221,1.3334,1.358052285,6.32986E-05,1.297713883,0.000138804,,-4,1.552610884,1.523643294
,,,9,14.64116152,213.7992175,1.1369,1.23423355,0.001272711,1.145519146,1.0759E-05,,-3,1.575560125,1.547002538
,,,10.5,13.48352265,220.6304527,1.0146,1.107850596,0.001458196,0.99031139,0.000110735,,-2,1.587095289,1.557782672
,,,12,13.99658745,225.0124392,1.0327,0.99237737,0.000299197,0.851820217,0.006993347,,-1,1.591088022,1.561089372
,,,13.5,13.98104797,218.4555713,1.0625,0.894715881,0.005571696,0.739122995,0.024841613,,0,1.591592988,1.561433649
,,,15,11.21148146,224.0327673,0.8308,0.816073544,6.03292E-05,0.65241094,0.011019804,,1,1.591088022,1.561089372
,,,16.5,9.013551405,233.7570822,0.6401,0.754471019,0.005097208,0.587575318,0.001382671,,2,1.587095289,1.557782672
,,,18,9.267555785,221.1424413,0.6957,0.706822799,4.74521E-05,0.539589576,0.012178988,,3,1.575560125,1.547002538
,,,19.5,8.813608707,203.0828409,0.7205,0.670075969,0.000992876,0.504038467,0.024077823,,4,1.552610884,1.523643294
,,,21,7.801100146,202.2358636,0.6404,0.641651187,7.18559E-07,0.477506818,0.016249046,,5,1.515361813,1.483161106
,,,22.5,6.866054185,185.5926587,0.6142,0.619522219,1.40406E-05,0.457497941,0.016363697,,6,1.462712549,1.422947152
,,,,,,,,,,,,7,1.395842048,1.343513522
,,,,,,O. Leaflet,Sqrt(Avg):,0.034585967,,,,8,1.318097129,1.248842242
,,,,,,I. Leaflet,,,Sqrt(Avg):,0.025336531,,9,1.23423355,1.145519146
,,,,,,,,,,,,10,1.149306684,1.040964293
,,,,,,,,,,,,11,1.067665957,0.941613702
,,,,,,,,,,,,12,0.99237737,0.851820217
,,,,,,,,,,,,13,0.925125742,0.7736792
,,,,,,,,,,,,14,0.866444726,0.707487462
,,,,,,,,,,,,15,0.816073544,0.65241094
,,,,,,,,,,,,16,0.773295825,0.607071241
,,,,,,,,,,,,17,0.737195679,0.569945398
,,,,,,,,,,,,18,0.706822799,0.539589576
,,,,,,,,,,,,19,0.681284411,0.51473867
,,,,,,,,,,,,20,0.659787513,0.494332771
,,,,,,,,,,,,21,0.641651187,0.477506818
,,,,,,,,,,,,22,0.626302861,0.46356524
,,,,,,,,,,,,23,0.613267171,0.451953091
,,,,,,,,,,,,24,0.602152358,0.442229019
