nTot =,4425,,binMid (?),"n_res,bin",n_bin,"p_res,bin (DATA)",p_z_1 (FIT),SqLgDif Err 1,p_z_2 (FIT),SqLgDif Err 2,,z,Pz_Outer,Pz_Inner
nRes=,107.1179862,,-22.5,0.529029238,37.14630579,0.5883,0.573986885,0.000114423,0.702913408,0.005975751,,-24,0.573289511,0.701953198
,,,-21,1.16944254,53.38306721,0.905,0.577691484,0.038006522,0.706503649,0.011563598,,-23,0.573609436,0.702437017
Paq_1,0.573174329,,-19.5,2.13406324,104.6734919,0.8422,0.593109694,0.023189264,0.717814333,0.004816792,,-22,0.574652068,0.703656923
?E0_1,-0.895286235,,-18,3.20202335,171.1190525,0.773,0.64433932,0.006251252,0.748032984,0.000203312,,-21,0.577691484,0.706503649
zmid_1,11.08570933,,-16.5,5.141007351,239.2408502,0.8877,0.785305814,0.002833157,0.817306049,0.001287483,,-20,0.585632999,0.712656603
n_1,3.056540066,,-15,7.4747651,301.1099038,1.0255,1.115498638,0.001334688,0.954938272,0.000958544,,-19,0.604326292,0.724996976
,,,-13.5,9.496489995,325.1446914,1.2065,1.733492209,0.02477305,1.189101127,3.97976E-05,,-18,0.64433932,0.748032984
Paq_2,0.70168885,,-12,11.73653056,335.092151,1.4469,2.4330467,0.050945875,1.507757073,0.000320154,,-17,0.723230449,0.788217981
?E0_2,-0.582409744,,-10.5,13.20148088,329.7126103,1.654,2.528905977,0.034002319,1.795774613,0.001275656,,-16,0.868110999,0.853968183
zmid_2,-9.38803558,,-9,11.1914955,284.4671655,1.6252,1.898899959,0.004569121,1.866005047,0.00360072,,-15,1.115498638,0.954938272
n_2,3.683615455,,-7.5,10.36290325,233.0137027,1.8372,1.225290279,0.030946949,1.662262182,0.001888503,,-14,1.496406997,1.099526805
,,,-6,10.2518032,229.7219923,1.8435,0.837088289,0.117561123,1.336458883,0.019512609,,-13,1.985852149,1.28899589
,,,-4.5,6.139595587,238.0645755,1.0654,0.664865935,0.041934279,1.054962353,1.82819E-05,,-12,2.4330467,1.507757073
,,,-3,2.97862339,209.6984556,0.5868,0.599975559,9.29962E-05,0.873172821,0.029794248,,-11,2.597883368,1.715046091
,,,-1.5,3.163197546,193.1250516,0.6766,0.579549469,0.004521417,0.774960083,0.003474789,,-10,2.36992828,1.851067567
,,,0,3.255234219,197.3133755,0.6815,0.5743817,0.00551533,0.729029365,0.000857269,,-9,1.898899959,1.866005047
,,,1.5,2.097574751,211.8728901,0.409,0.579549469,0.02291203,0.774960083,0.077037347,,-8,1.421441217,1.753895305
,,,3,1.776896069,212.6004826,0.3453,0.599975559,0.057569755,0.873172821,0.162331336,,-7,1.06415545,1.55712391
,,,4.5,3.305269032,207.8261565,0.657,0.664865935,2.67156E-05,1.054962353,0.042300804,,-6,0.837088289,1.336458883
,,,6,4.303145077,218.7038,0.8128,0.837088289,0.000163522,1.336458883,0.046643865,,-5,0.705909168,1.138264403
,,,7.5,6.780721735,210.9114221,1.3281,1.225290279,0.001224425,1.662262182,0.009500157,,-4,0.635313696,0.983311124
,,,9,10.50652452,213.7992175,2.03,1.898899959,0.000840649,1.866005047,0.001338332,,-3,0.599975559,0.873172821
,,,10.5,13.10811651,220.6304527,2.4543,2.528905977,0.000169131,1.795774613,0.018407928,,-2,0.583719196,0.800387586
,,,12,12.69329232,225.0124392,2.3303,2.4330467,0.000351135,1.507757073,0.035751421,,-1,0.576931776,0.755272319
,,,13.5,9.325153834,218.4555713,1.7634,1.733492209,5.51892E-05,1.189101127,0.029286177,,0,0.5743817,0.729029365
,,,15,5.725440244,224.0327673,1.0557,1.115498638,0.000572574,0.954938272,0.001897929,,1,0.576931776,0.755272319
,,,16.5,4.26422922,233.7570822,0.7536,0.785305814,0.000320336,0.817306049,0.001242127,,2,0.583719196,0.800387586
,,,18,4.417713332,221.1424413,0.8252,0.64433932,0.011544339,0.748032984,0.001818039,,3,0.599975559,0.873172821
,,,19.5,3.563157781,203.0828409,0.7248,0.593109694,0.007583477,0.717814333,1.76909E-05,,4,0.635313696,0.983311124
,,,21,3.715192746,202.2358636,0.7589,0.577691484,0.014039545,0.706503649,0.000965354,,5,0.705909168,1.138264403
,,,22.5,2.725977431,185.5926587,0.6068,0.573986885,0.000582914,0.702913408,0.004077621,,6,0.837088289,1.336458883
,,,,,,,,,,,,7,1.06415545,1.55712391
,,,,,,O. Leaflet,Sqrt(Avg):,0.087846125,,,,8,1.421441217,1.753895305
,,,,,,I. Leaflet,,,Sqrt(Avg):,0.073138356,,9,1.898899959,1.866005047
,,,,,,,,,,,,10,2.36992828,1.851067567
,,,,,,,,,,,,11,2.597883368,1.715046091
,,,,,,,,,,,,12,2.4330467,1.507757073
,,,,,,,,,,,,13,1.985852149,1.28899589
,,,,,,,,,,,,14,1.496406997,1.099526805
,,,,,,,,,,,,15,1.115498638,0.954938272
,,,,,,,,,,,,16,0.868110999,0.853968183
,,,,,,,,,,,,17,0.723230449,0.788217981
,,,,,,,,,,,,18,0.64433932,0.748032984
,,,,,,,,,,,,19,0.604326292,0.724996976
,,,,,,,,,,,,20,0.585632999,0.712656603
,,,,,,,,,,,,21,0.577691484,0.706503649
,,,,,,,,,,,,22,0.574652068,0.703656923
,,,,,,,,,,,,23,0.573609436,0.702437017
,,,,,,,,,,,,24,0.573289511,0.701953198
