nTot =,4425,,binMid (?),"n_res,bin",n_bin,"p_res,bin (DATA)",p_z_1 (FIT),SqLgDif Err 1,p_z_2 (FIT),SqLgDif Err 2,,z,Pz_Outer,Pz_Inner
nRes=,257.9422297,,-22.5,0.760140227,37.14630579,0.351,0.828299803,0.139039824,0.384910937,0.001604254,,-24,0.828299663,0.375310027
,,,-21,1.580421676,53.38306721,0.5079,0.828302801,0.045118398,0.401750226,0.010367737,,-23,0.828299706,0.381069129
Paq_1,0.828299658,,-19.5,2.579913595,104.6734919,0.4228,0.82834827,0.085309553,0.429920723,5.26118E-05,,-22,0.828300077,0.389546671
?E0_1,-0.577558433,,-18,3.758193481,171.1190525,0.3768,0.828835171,0.117208505,0.475097151,0.010134757,,-21,0.828302801,0.401750226
zmid_1,8.150395377,,-16.5,7.154705682,239.2408502,0.513,0.832508675,0.044214063,0.544740484,0.000679764,,-20,0.82831992,0.41895717
n_1,2.574370275,,-15,12.49799506,301.1099038,0.712,0.852081623,0.006084188,0.647670646,0.00169133,,-19,0.828411975,0.442758574
,,,-13.5,17.00673676,325.1446914,0.8973,0.927001618,0.000200019,0.791796143,0.002951128,,-18,0.828835171,0.475097151
Paq_2,0.36519773,,-12,15.7404749,335.092151,0.8058,1.139360411,0.022630347,0.978249832,0.007093433,,-17,0.830496949,0.518277766
?E0_2,-0.85395827,,-10.5,20.00207652,329.7126103,1.0407,1.575688316,0.032452135,1.191643206,0.003459873,,-16,0.836070961,0.574905266
zmid_2,-6.611935849,,-9,30.40609075,284.4671655,1.8337,2.085984212,0.003134066,1.392079283,0.014319548,,-15,0.852081623,0.647670646
n_2,6.173552402,,-7.5,25.85645238,233.0137027,1.9036,2.130377667,0.002389343,1.521820248,0.009450239,,-14,0.891730367,0.738872755
,,,-6,17.9660693,229.7219923,1.3417,1.648208104,0.007984606,1.533700549,0.003373885,,-13,0.977287825,0.849558766
,,,-4.5,17.32225754,238.0645755,1.2482,1.183541523,0.000533641,1.423032753,0.003241107,,-12,1.139360411,0.978249832
,,,-3,12.563198,209.6984556,1.0278,0.945014087,0.001330085,1.231096139,0.00614395,,-11,1.405181591,1.119455178
,,,-1.5,10.98946625,193.1250516,0.9762,0.857524613,0.003168813,1.016342107,0.000306289,,-10,1.759568535,1.262567026
,,,0,12.30446973,197.3133755,1.0698,0.833697104,0.011727656,0.823109895,0.012960632,,-9,2.085984212,1.392079283
,,,1.5,9.765392309,211.8728901,0.7907,0.857524613,0.001241495,1.016342107,0.011887144,,-8,2.193001628,1.489971005
,,,3,9.66891219,212.6004826,0.7802,0.945014087,0.006927622,1.231096139,0.039238073,,-7,2.002223515,1.540187581
,,,4.5,14.95654788,207.8261565,1.2346,1.183541523,0.000336457,1.423032753,0.003805486,,-6,1.648208104,1.533700549
,,,6,23.9095866,218.7038,1.8755,1.648208104,0.003147774,1.533700549,0.007634652,,-5,1.313749093,1.471706059
,,,7.5,24.06795331,210.9114221,1.9576,2.130377667,0.001349287,1.521820248,0.01195974,,-4,1.080617307,1.365187937
,,,9,24.48505818,213.7992175,1.9647,2.085984212,0.000676768,1.392079283,0.022389818,,-3,0.945014087,1.231096139
,,,10.5,22.96566195,220.6304527,1.7857,1.575688316,0.002952638,1.191643206,0.030857229,,-2,0.87618174,1.087216986
,,,12,13.84003701,225.0124392,1.0552,1.139360411,0.001110645,0.978249832,0.001081423,,-1,0.84554181,0.948082226
,,,13.5,11.86774963,218.4555713,0.932,0.927001618,5.45419E-06,0.791796143,0.005012998,,0,0.833697104,0.823109895
,,,15,11.62131779,224.0327673,0.8899,0.852081623,0.0003557,0.647670646,0.01904041,,1,0.84554181,0.948082226
,,,16.5,11.12339733,233.7570822,0.8163,0.832508675,7.2914E-05,0.544740484,0.030856486,,2,0.87618174,1.087216986
,,,18,10.44697833,221.1424413,0.8104,0.828835171,9.54283E-05,0.475097151,0.053785498,,3,0.945014087,1.231096139
,,,19.5,10.60550704,203.0828409,0.8959,0.82834827,0.001159169,0.429920723,0.101678815,,4,1.080617307,1.365187937
,,,21,9.585714924,202.2358636,0.8131,0.828302801,6.47247E-05,0.401750226,0.093750988,,5,1.313749093,1.471706059
,,,22.5,7.959782557,185.5926587,0.7358,0.828299803,0.002644816,0.384910937,0.079185697,,6,1.648208104,1.533700549
,,,,,,,,,,,,7,2.002223515,1.540187581
,,,,,,O. Leaflet,Sqrt(Avg):,0.046008524,,,,8,2.193001628,1.489971005
,,,,,,I. Leaflet,,,Sqrt(Avg):,0.074090543,,9,2.085984212,1.392079283
,,,,,,,,,,,,10,1.759568535,1.262567026
,,,,,,,,,,,,11,1.405181591,1.119455178
,,,,,,,,,,,,12,1.139360411,0.978249832
,,,,,,,,,,,,13,0.977287825,0.849558766
,,,,,,,,,,,,14,0.891730367,0.738872755
,,,,,,,,,,,,15,0.852081623,0.647670646
,,,,,,,,,,,,16,0.836070961,0.574905266
,,,,,,,,,,,,17,0.830496949,0.518277766
,,,,,,,,,,,,18,0.828835171,0.475097151
,,,,,,,,,,,,19,0.828411975,0.442758574
,,,,,,,,,,,,20,0.82831992,0.41895717
,,,,,,,,,,,,21,0.828302801,0.401750226
,,,,,,,,,,,,22,0.828300077,0.389546671
,,,,,,,,,,,,23,0.828299706,0.381069129
,,,,,,,,,,,,24,0.828299663,0.375310027
