cluster73,18.1.1,18.1.2,,,,
,18.1.1,,,,,
cluster28,16.2.1,16.2.3,16.2.4,16.2.2,16.2.5,16.2.8
cluster8,22.4.2,22.4.4,,,,
,10.1.1,,,,,
,10.2.1,,,,,
,22.2.4,,,,,
cluster144,8.1.5,8.6.3,8.6.2,,,
,12.6.1,,,,,
,22.1.4,,,,,
,8.3.1,,,,,
cluster75,8.1.1,nn.31.1,,,,
,14.1.1,,,,,
,8.5.1,,,,,
cluster108,12.5.1,12.5.2,,,,
,12.1.6,,,,,
,8.4.1,,,,,
,14.2.1,,,,,
,8.2.1,,,,,
,22.4.5,,,,,
cluster99,16.1.1,16.1.2,,,,
,16.4.2,,,,,
cluster131,16.2.1,16.2.3,,,,
cluster53,nn.5.1,nn.5.2,nn.5.4,cluster43,,
,nn.2.2,,,,,
,nn.36.1,,,,,
cluster71,14.1.5,14.1.7,14.1.1,cluster62,,
,22.4.6,,,,,
,14.1.1,,,,,
cluster165,8.1.1,nn.31.1,,,,
cluster18,cluster6,22.1.7,22.1.4,22.1.5,22.1.3,22.1.6
,nn.54.1,,,,,
,22.4.6,,,,,
,nn.9.1,,,,,
cluster131,16.2.1,16.2.3,,,,
