Seq id,X,Y,Direction,Magnitude
gi|94314726|ref|YP,-14.7866714082,2.71212062195,169.606527961,15.0333379395
gi|70728364|ref|YP,-3.73477224957,-8.17371034305,-114.556843794,8.98654908896
gi|37528269|ref|NP,-2.00446504848,-9.45602967299,-101.968249868,9.66614593863
gi|84319848|ref|ZP,-8.66998389631,-3.27422492561,-159.310924462,9.26764099574
gi|15611810|ref|NP,-5.38763264729,-10.2975366984,-117.618395985,11.6217833226
gi|77457150|ref|YP,-3.54715147916,-1.62875622807,-155.336689785,3.90322052497
gi|15645309|ref|NP,-6.2049308726,-4.13814398831,-146.300194885,7.45824394892
gi|66044291|ref|YP,-4.22669691322,-4.3595953791,-134.113247842,6.07215272088
gi|67154222|ref|ZP,-9.20513369183,-15.2220684846,-121.162315057,17.7889250724
gi|84385197|ref|ZP,-8.40100294616,3.39668606612,157.985575138,9.06169557716
gi|56477670|ref|YP,4.62134697782,-0.610195656171,-7.52173761121,4.66145756478
gi|26991297|ref|NP,-2.8996305784,-8.70971516731,-108.413585988,9.17970564816
gi|94314725|ref|YP,-15.0485262468,-6.03162832044,-158.15849989,16.2123003425
template_1KMO,-8.21985494181,-14.4661007231,-119.605886491,16.6383318092
gi|67155397|ref|ZP,-8.74961168199,-17.6319456003,-116.392276905,19.6835263669
gi|28901511|ref|NP,-2.49162354978,-5.96332951822,-112.676353922,6.46293175399
gi|73538473|ref|YP,-4.18232828584,-1.34890030188,-162.124254829,4.39447402028
gi|74316740|ref|YP,-7.71377604447,-7.1904567879,-137.010950322,10.5453785936
gi|77460006|ref|YP,-5.33620338291,-1.57831816532,-163.523074288,5.56472414184
gi|75189001|ref|ZP,-8.21985494181,-14.4661007231,-119.605886491,16.6383318092
gi|91791971|ref|YP,-7.87945142562,-3.72822301473,-154.678468185,8.71696057214
gi|93006108|ref|YP,-10.8490034629,-11.2471131468,-133.967803376,15.6268496594
gi|70731395|ref|YP,-10.7324192626,-3.3553365728,-162.638896395,11.2446923811
gi|15646010|ref|NP,-9.67828741245,-6.10882919268,-147.740327246,11.4449570267
gi|116696506|ref|Y,-11.9833066604,-4.51649734566,-159.348619587,12.8061854895
gi|15599096|ref|NP,-7.30142108651,-9.14942503075,-128.590555468,11.7056707743
gi|78048862|ref|YP,10.8483502195,-7.23958911835,-33.7169545391,13.0421759338
gi|91790612|ref|YP,-8.43508844527,-12.3197192763,-124.398735381,14.9307133161
gi|82739912|ref|ZP,-15.2367875692,-8.26739993474,-151.515977599,17.3352126352
gi|94413381|ref|ZP,-13.6196484529,-9.0929459899,-146.271562723,16.376095101
gi|114565001|ref|Y,-5.73158225655,-4.23550746902,-143.536451217,7.12674951739
gi|50120017|ref|YP,-6.08708203321,-10.8887598774,-119.206253831,12.4746807312
