Seq id,X,Y,Direction,Magnitude
gi|94314726|ref|YP,4.18554069612,-11.434466837,-69.8950506613,12.1764437651
gi|70728364|ref|YP,9.37195605192,-8.36107540166,-41.7373554594,12.5595040552
gi|37528269|ref|NP,9.52045024271,-10.9872135899,-49.090982146,14.5381510274
gi|84319848|ref|ZP,10.2014487663,-2.72813407818,-14.9720352346,10.5599371438
gi|15611810|ref|NP,13.6012841334,-25.9668495347,-62.3547154065,29.3133451662
gi|77457150|ref|YP,8.23910779774,-7.65034804312,-42.8779623485,11.243252309
gi|15645309|ref|NP,5.61318527812,-19.0161831285,-73.5544859652,19.8273313823
gi|66044291|ref|YP,10.8948396024,-11.1768722507,-45.7320864436,15.6083312135
gi|67154222|ref|ZP,9.72351552832,-27.4045299551,-70.4645938971,29.0784287108
gi|84385197|ref|ZP,5.56031590254,-12.0491281503,-65.2280746705,13.2702148483
gi|56477670|ref|YP,2.31036453376,-5.35204647559,-66.6511705902,5.82942413586
gi|26991297|ref|NP,5.34127370186,-13.6225005171,-68.5902507726,14.6322153174
gi|94314725|ref|YP,5.34505762337,-14.1814757968,-69.3483636878,15.1553256901
template_1KMO,8.90050401262,-12.3345960831,-54.1862128753,15.2105631786
gi|67155397|ref|ZP,11.3780167463,-18.5980290043,-58.5422821853,21.8024298628
gi|28901511|ref|NP,6.12249658342,-15.5477988901,-68.5062027617,16.7098478372
gi|73538473|ref|YP,5.23006496217,-5.46482626457,-46.257485634,7.56425182093
gi|74316740|ref|YP,6.36570488085,-9.99610112358,-57.5102504401,11.8509171081
gi|77460006|ref|YP,7.17420054043,-11.9303954636,-58.979906418,13.9213321673
gi|75189001|ref|ZP,8.90050401262,-12.3345960831,-54.1862128753,15.2105631786
gi|91791971|ref|YP,-0.464328285455,-14.9486551284,-91.7791232557,14.9558647662
gi|93006108|ref|YP,1.7777771317,-18.9245139933,-84.6333589249,19.0078331594
gi|70731395|ref|YP,5.98891766891,-5.93277733789,-44.7301910299,8.43000485088
gi|15646010|ref|NP,14.5544282396,-25.3729476754,-60.1605588373,29.2509462261
gi|116696506|ref|Y,8.61372210077,-9.65828468303,-48.271887864,12.9413550855
gi|15599096|ref|NP,7.13366992789,-12.0064728709,-59.283250866,13.965838229
gi|78048862|ref|YP,12.2098417085,-19.8788656105,-58.4412465038,23.3291562751
gi|91790612|ref|YP,4.7399586136,-15.2960540748,-72.7827773225,16.0136341259
gi|82739912|ref|ZP,5.49089414864,-4.3262971693,-38.2347145559,6.99047678979
gi|94413381|ref|ZP,8.46660299906,-21.0200728828,-68.0610862307,22.6611303853
gi|114565001|ref|Y,-3.19298622521,-15.389467404,-101.72134928,15.7172156572
gi|50120017|ref|YP,7.95436539026,-15.5482575685,-62.9060745234,17.4648287188
