number,PDB_ID,Cluster Name,subclusters,# of homol. seqs in MSA
1,1A0S,cluster73,18.1.1,51
,,,18.1.2,
,,,,
3,1E54,cluster28,16.2.1-16.2.5,319
,,,16.2.8,
4,1FEP,cluster8,22.4.2,81
,,,22.4.4,
5,1I78,,10.1.1,15
6,1K24,,10.2.1,2
7,1KMO,,22.2.4,31
8,1P4T,cluster144,8.1.5,76
,,,8.6.3,
,,,8.6.2,
9,1QD6,,12.6.1,85
10,1QFG,,22.1.4,224
11,1QJ8,,8.3.1,31
12,1QJP,cluster75,8.1.1,78
,,,nn.31.1,
13,1T16,,14.1.1,162
14,1THQ,,8.5.1,14
15,1TLY,cluster108,12.5.1,36
,,,12.5.2,
16,1UYN,,12.1.6,57
17,2ERV,,8.4.1,44
,,,,
19,2F1V,,8.2.1,141
20,2GUF,,22.4.5,61
21,2J1N,cluster99,16.1.1,77
,,,16.1.2,
22,2O4V,,16.4.2,75
,,,,
,,,,
24,2QDZ,cluster53,nn.5.1,152
,,,nn.5.2,
,,,nn.5.4,
,,,cluster43,
25,2VQI,,nn.2.2,206
26,2WJR,,nn.36.1,35
27,3BS0,cluster71,14.1.5,194
,,,14.1.7,
,,,14.1.1,
,,,cluster62,
28,3CSL,,22.4.6,67
,,,,
,,,,
31,3EFM,cluster18,cluster6,531
,,,22.1.7,
,,,22.1.4,
,,,22.1.5,
,,,22.1.3,
,,,22.1.6,
32,3EMN,,nn.54.1,25
,,,,
34,3JTY,,nn.9.1,172
