Seq id,X,Y,Direction,Magnitude
gi|15640186|ref|NP,1.40058772579,-14.4639078731,-84.4691055411,14.5315614075
gi|84362654|ref|ZP,-6.44326718737,-10.6812360448,-121.099739105,12.4741530972
gi|22124242|ref|NP,-6.58923872105,-9.50330763629,-124.735994555,11.5642087041
gi|26250743|ref|NP,-8.92583548714,-6.20827244055,-145.179855926,10.8725887368
gi|21232497|ref|NP,-7.28602438608,-7.68437420601,-133.475766772,10.5894172782
gi|77361198|ref|YP,-14.6538207427,-6.87288948741,-154.872629254,16.1855204509
gi|77973006|ref|ZP,-0.983492848282,-7.00050875856,-97.9970745381,7.06925604723
gi|50123158|ref|YP,-6.84293778512,-5.66305527811,-140.389637992,8.88234161772
gi|77957416|ref|ZP,-0.682234772571,-6.61357981792,-95.8896088996,6.64867522841
gi|94264752|ref|ZP,1.26958991254,-14.487719645,-84.9918418073,14.543241697
gi|62182589|ref|YP,-4.66571525158,-1.65506950554,-160.468873666,4.95057106575
gi|73540360|ref|YP,-6.67789001077,-8.79999684439,-127.193096026,11.0469072349
gi|115424124|emb|C,-10.8739590253,-11.1966681408,-134.162300523,15.6079583014
gi|70732812|ref|YP,-12.4349783604,-8.45203842644,-145.796104868,15.0354793866
gi|88858564|ref|ZP,-6.60118524412,2.66281782921,158.031600463,7.11802257785
gi|44555809|gb|EAK,-6.38933939156,-2.78426492871,-156.454004197,6.96963335146
gi|114321962|ref|Y,-8.791591843,-12.4391035361,-125.251543933,15.232313807
gi|54310517|ref|YP,-7.89052296602,-4.31847520196,-151.308156973,8.99497530554
gi|27364589|ref|NP,-7.9011630445,-3.00107806137,-159.201851893,8.45191380612
template_2GUF,-7.83244414749,-5.88637001044,-143.073790535,9.79778205633
gi|30248647|ref|NP,-8.96344529293,-19.2009979256,-115.024194138,21.190131497
gi|86148653|ref|ZP,-5.38844767312,-7.08673673495,-127.247786067,8.90265162052
gi|77976805|ref|ZP,-5.13073556647,-12.5979969759,-112.159395729,13.6027194067
gi|84394316|ref|ZP,-4.369428251,-11.9534472058,-110.079232444,12.727010778
gi|89074504|ref|ZP,-9.05685936962,-11.9937866228,-127.057521868,15.0292255022
gi|37528552|ref|NP,-2.65253414655,-7.57392431423,-109.301236996,8.02497768946
gi|67153890|ref|ZP,-10.6474859797,-9.24782223026,-139.024210773,14.1028782059
gi|47572399|ref|ZP,-13.4417700121,-20.78417002,-122.892007022,24.7520282902
gi|84711556|ref|ZP,-8.73473894048,-4.23146038317,-154.152577691,9.70571591036
gi|88948700|ref|ZP,-14.4493734867,-1.22937532101,-175.13689726,14.5015777706
gi|67157158|ref|ZP,-15.7247440662,-4.09295438524,-165.410355162,16.2486876869
gi|34495949|ref|NP,-6.93355915345,-14.2512841314,-115.94392749,15.8484491963
gi|15596468|ref|NP,-7.98224059627,-11.5396766864,-124.67243665,14.0314041693
gi|77461229|ref|YP,-16.9785152107,-11.5525339349,-145.767816684,20.5360906474
gi|91774478|ref|YP,-14.4399872803,-7.5913496795,-152.268323059,16.3138537021
gi|94311721|ref|YP,-6.57612401182,-8.8598880699,-126.584118476,11.0337221113
gi|26987263|ref|NP,-16.9770099442,-6.77991243051,-158.23028539,18.2807570743
gi|113868927|ref|Y,-5.56508880018,-12.09602001,-114.70602528,13.3148005406
gi|83746699|ref|ZP,-10.8231851359,-10.8948380833,-134.81096822,15.3570450721
gi|111619201|ref|Z,-6.05133555502,-4.07341419404,-146.053807364,7.29461206615
gi|21243920|ref|NP,-4.04295226573,-10.910992047,-110.331651973,11.6359447607
gi|37678350|ref|NP,5.83838603932,-3.38014261256,-30.0687620103,6.74626679174
gi|76808967|ref|YP,-2.60582927187,-10.0181121901,-104.580216514,10.3514693666
gi|104779859|ref|Y,-12.6305932808,-2.41333082203,-169.182859387,12.8590844262
gi|92113626|ref|YP,-13.9365158926,4.49156192105,162.136528622,14.6424247895
gi|88811201|ref|ZP,-8.49233206113,4.36819687766,152.780090624,9.54991349691
gi|77952522|ref|ZP,-7.54203028147,-20.5892822733,-110.118214803,21.9271695688
gi|51594483|ref|YP,0.47368165886,-12.6608306621,-87.8573832767,12.6696885269
gi|71282530|ref|YP,-9.85709586106,-1.12856614885,-173.468488403,9.92149184178
gi|110595702|ref|Z,-10.5729266203,-5.3565514114,-153.131903495,11.8524014588
gi|28899712|ref|NP,-0.171161044053,-3.22943639742,-93.0338539435,3.23396900851
gi|61211368|sp|O52,-6.8453418397,-5.07556801052,-143.444431374,8.52174251734
gi|59713042|ref|YP,-3.02871549056,-8.04264797558,-110.635464702,8.5940272272
gi|91782329|ref|YP,-2.71705435877,-10.046838798,-105.13300209,10.4077545235
gi|111615251|ref|Z,-11.6069776087,-15.4299132162,-126.951900437,19.3081369135
gi|110835232|ref|Y,-6.20347596078,-18.9298397092,-108.144427746,19.9203901922
gi|74318738|ref|YP,-8.93960644842,-15.3468930507,-120.2209149,17.7607344939
gi|91228522|ref|ZP,2.78090849634,-16.9263182865,-80.6699454937,17.1532417578
gi|14252934|emb|CA,-9.34260136943,-5.02706511188,-151.716202585,10.6092216485
gi|90581102|ref|ZP,-11.8802608892,-5.28570134035,-156.015021121,13.0030472372
gi|82736934|ref|ZP,-19.3056119869,-4.35791205098,-167.279653359,19.7913630564
gi|33594463|ref|NP,-4.5902879924,-14.7401250816,-107.29734345,15.438329938
