Seq id,X,Y,Direction,Magnitude
gi|50084146|ref|YP,5.5667383224,-4.02630929818,-35.8774553261,6.87020684657
gi|83750019|ref|ZP,13.4691951535,-6.63912378765,-26.2392268062,15.0165636133
gi|78189021|ref|YP,4.10187500384,-4.38005719972,-46.8784581484,6.00085657386
gi|17546498|ref|NP,16.3958896128,-6.10363689989,-20.4186021646,17.4951301682
gi|70728929|ref|YP,20.2356656905,-10.5471129837,-27.5291581401,22.8193724329
gi|46156194|ref|ZP,15.8462699861,-3.36449443434,-11.9870810819,16.1995091059
gi|84715959|ref|ZP,1.26968589587,-7.35277636521,-80.2027172985,7.46159651489
gi|15677604|ref|NP,9.56986254202,7.47558846514,37.9955102094,12.1435864543
gi|68549856|ref|ZP,3.53120208929,-6.12335692925,-60.028919084,7.06858460219
gi|116694203|ref|Y,13.8927404935,5.52327563218,21.6810662563,14.9504117712
gi|2244626|dbj|BAA,6.12739970568,-10.8580226629,-60.5630922461,12.4676254075
gi|92115267|ref|YP,26.2240872956,-11.206153511,-23.1381289926,28.5180755136
gi|53688216|ref|ZP,11.8695682188,0.605590396036,2.92072239144,11.8850069175
gi|39996255|ref|NP,15.3166230976,-9.97265923801,-33.0681669418,18.2771134316
gi|115358532|ref|Y,13.9678439159,-6.22698044869,-24.0277084722,15.293003275
gi|84358792|ref|ZP,15.1120166409,-9.84376647984,-33.0796855351,18.0353204979
gi|75910380|ref|YP,10.4986211419,-4.63046686113,-23.8001060649,11.4744180347
gi|53687361|ref|ZP,17.5689473443,-2.39472456763,-7.76183312917,17.7314019903
gi|104781306|ref|Y,13.6755041536,-10.1768959374,-36.6555059523,17.0466602235
gi|77460014|ref|YP,11.4275030742,-8.25939544865,-35.8580733453,14.0998382859
gi|17549664|ref|NP,14.8090595675,-6.84081047519,-24.7938281554,16.3127230477
gi|50119350|ref|YP,15.7744868108,-12.4189571128,-38.2126939754,20.0764770295
gi|15597659|ref|NP,21.9036687519,-6.1661293783,-15.7225086716,22.7550402395
gi|37524555|ref|NP,11.7960285096,-8.76456368166,-36.612707247,14.695709072
gi|37525118|ref|NP,9.7883459178,-8.69769631398,-41.6235463339,13.0943360648
gi|37524332|ref|NP,5.83867458934,-8.20997458351,-54.5807642948,10.074413314
gi|77972817|ref|ZP,10.9741309911,-3.63054996319,-18.3056620786,11.5590849138
gi|123205|sp|P1532,5.57190040343,-12.6772220144,-66.2735212985,13.8476724437
gi|73539800|ref|YP,13.6620057919,5.160976231,20.69462146,14.6043170985
gi|33440438|gb|AAQ,14.2170166731,-5.27917238202,-20.3713572028,15.1655274924
gi|71737455|ref|YP,15.1688091406,-0.780557075323,-2.94572989565,15.1888788293
gi|77972001|ref|ZP,15.7216519636,-7.76953926721,-26.2982862475,17.5367066717
gi|109671067|ref|Z,13.3557529872,6.62699954416,26.3901767859,14.9095023664
gi|7716521|gb|AAF6,14.6716416847,-8.36596282095,-29.6923564939,16.8892392856
gi|32400316|dbj|BA,16.8200185123,-9.39551190561,-29.1873349989,19.2662572058
gi|77978355|ref|ZP,17.8348687648,-21.8466604909,-50.7729721084,28.2021119504
gi|106882647|ref|Z,11.1012647499,-0.679624512316,-3.50330150223,11.1220487558
gi|77956969|ref|ZP,20.0420256298,-15.2616338888,-37.28860507,25.191273495
gi|15601921|ref|NP,11.5161562593,-6.3945938244,-29.0421676664,13.1724213859
gi|27378364|ref|NP,7.49349634383,-2.42066853879,-17.9023205877,7.87477768763
gi|46143523|ref|ZP,27.9628130084,-0.145692659761,-0.298521431777,27.9631925519
gi|34497372|ref|NP,10.8392873465,-14.1113856979,-52.4712858697,17.7938572686
gi|34498328|ref|NP,11.280416295,-6.5200178073,-30.0276731297,13.0291375001
gi|70734123|ref|YP,24.1699889082,-7.75719971935,-17.7936929512,25.3842965494
gi|1772622|gb|AAC3,12.8392739065,-7.19235675117,-29.2568544865,14.7165536075
gi|57168816|ref|ZP,28.8395246395,-14.7641654138,-27.1098157683,32.3990549522
gi|22297981|ref|NP,17.7222088862,-2.27158471135,-7.30419031981,17.8671985747
gi|57157508|dbj|BA,6.59076397172,-9.02842401721,-53.8704960791,11.1781308798
gi|42759854|gb|AAK,-1.95793233447,-8.32916773742,-103.228318526,8.55619858491
gi|71979951|gb|AAZ,12.7874081614,-6.48148779484,-26.8788481778,14.3362300316
gi|83745591|ref|ZP,6.26991608181,-5.52609148098,-41.3918590076,8.35760340822
gi|77977130|ref|ZP,11.1523708922,-8.13744112731,-36.1167410934,13.8055541221
gi|44357203|gb|EAI,4.75847814623,-14.4801849115,-71.8084433507,15.2420100164
gi|77958448|ref|ZP,16.9217014496,-5.04960459063,-16.6156284013,17.659062446
gi|77962891|ref|ZP,16.7355093726,-18.5115814883,-47.8846477359,24.9550781036
gi|15021659|gb|AAK,16.2051190627,-17.8312016543,-47.735221707,24.0947636692
gi|44475936|gb|EAJ,-7.46256131813,-1.76713460849,-166.677752434,7.668936442
gi|14279145|gb|AAK,9.15684006856,-1.94081228426,-11.9668647265,9.36026027223
gi|78189023|ref|YP,3.54640314102,-0.576182970084,-9.2281935098,3.59290440364
template_2QDZ,22.3732659957,-4.01803267008,-10.1812622915,22.7312036164
gi|16123407|ref|NP,10.8320841536,-15.6042431597,-55.2325637404,18.9954323903
gi|91779928|ref|YP,6.60607923533,-12.9362767882,-62.9482757542,14.5254101493
gi|84358288|ref|ZP,0.394161685174,2.57764061312,81.3059241872,2.6076032222
gi|1151071|gb|AAC4,16.5294904069,-10.5523266535,-32.5539145655,19.610600473
gi|22127695|ref|NP,11.7381589321,-18.5997447445,-57.7442850127,21.9939737128
gi|83646119|ref|YP,12.8811440902,-3.08099399604,-13.4516460917,13.2444855346
gi|114320208|ref|Y,8.62737793343,-15.9798077853,-61.6357238798,18.1600084488
gi|75429900|ref|ZP,-3.56240534914,2.48607698217,145.090171595,4.34411218005
gi|53723069|ref|YP,13.7252342752,-6.71961812148,-26.085506079,15.28186257
gi|33152269|ref|NP,9.21674715265,-6.391045155,-34.7380800612,11.2157873664
gi|26988183|ref|NP,17.9345574805,-8.19147467576,-24.5481949301,19.7167088883
gi|34496923|ref|NP,7.49254554783,-5.84750814255,-37.9700246459,9.50429325429
gi|50085840|ref|YP,11.9137800553,-12.4631538584,-46.291034919,17.2414720748
gi|34557348|ref|NP,2.61993496811,12.4020950999,78.0716771619,12.675804594
gi|71907733|ref|YP,0.360411528997,5.16239561262,86.0063876069,5.17496134589
gi|71066337|ref|YP,1.22672386137,-6.21080429604,-78.8270645392,6.3307931127
gi|23128315|ref|ZP,19.2190782747,-2.57360737144,-7.62704753397,19.3906272366
