2POR,"(2.0972614645713543, -1.4932338825336626, 0.0)"
1THQ,"(2.0514949243038449, 2.7467461308828889, 0.0)"
1QFG,"(5.7549320309596279, -0.39008418858180027, 0.0)"
1KMO,"(-1.9550195997282382, -5.1328919936592845, 0.0)"
1A0S,"(0.7662542159586142, 5.0619479900002098, 0.0)"
3EMN,"(0.72504555782794244, -0.92141463671312474, 0.0)"
3DWO,"(-3.3615786839430677, -1.0966999098649344, 0.0)"
2WJR,"(-0.96881692447887124, 0.65320426009485699, 0.0)"
2F1V,"(0.23637236511005733, -0.73084430112951526, 0.0)"
2ERV,"(0.82654403832393353, -0.95693564136329834, 0.0)"
1E54,"(-0.14525786116661155, -3.3195399569941846, 0.0)"
1TLY,"(-2.4975958704668981, 0.22794020163325912, 0.0)"
1I78,"(0.13455702116990939, -0.40944393437462845, 0.0)"
1QJ8,"(1.997158305037714, -2.9001034909101961, 0.0)"
2F1C,"(-0.57368431875315451, -1.0660669358718016, 0.0)"
3JTY,"(-1.8937237638921471, -1.6170223250720612, 0.0)"
1T16,"(0.88130881779537107, -0.51338227900004507, 0.0)"
3CSL,"(4.2552247439107802, 5.1502813337602626, 0.0)"
1QJP,"(-3.3487572950731495, -0.48738679517737576, 0.0)"
1AF6,"(3.3499724151383199, 0.67322354622918268, 0.0)"
2J1N,"(-0.83916705513376721, -2.4994640673543502, 0.0)"
1P4T,"(-1.6100059736923416, -0.97154229391249491, 0.0)"
3PRN,"(0.31188963669680259, -0.87215151869631879, 0.0)"
1UYN,"(-3.3756852915930864, 2.0353888993441029, 0.0)"
2QDZ,"(6.0998931191029282, -5.1673102804757001, 0.0)"
3DZM,"(2.2813124410764725, 3.0783656319478232, 0.0)"
2O4V,"(-1.0018066082254655, -1.7335029359745142, 0.0)"
2GUF,"(-4.4392881107069302, 2.6276752392145148, 0.0)"
3BS0,"(-3.5972317872935173, 0.60880449284061422, 0.0)"
3FHH,"(-7.8813139020688192, 1.3942068362511084, 0.0)"
1QD6,"(-0.94204535158769742, 3.0434666403184303, 0.0)"
1K24,"(1.6571495958025046, -0.67022761232643657, 0.0)"
1FEP,"(4.4088120230733354, -0.57307544645227593, 0.0)"
2VQI,"(-5.3596009573736545, -1.8690831957740082, 0.0)"
3EFM,"(-2.8309744263460495, 4.5317553376546567, 0.0)"
