Seq id,X,Y,Direction,Magnitude
gi|23128193|ref|ZP,-14.9694871937,2.07896676247,172.093320504,15.1131614707
gi|83593709|ref|YP,-18.9113096052,17.6489839381,136.977479008,25.867436383
gi|34497706|ref|NP,-6.31153715625,14.2080615139,113.951857565,15.5468489817
gi|62466133|gb|AAX,-18.8206025844,7.76381353972,157.583033081,20.3590737098
gi|15965976|ref|NP,-16.8340968575,18.8128120418,131.822843669,25.244974033
gi|16121810|ref|NP,-8.28734506296,17.2167640289,115.703988364,19.1075129679
gi|131606|sp|P2518,-21.185723698,14.0333583588,146.479631048,25.4120057342
gi|33602800|ref|NP,-18.7170463475,25.2161540313,126.58517339,31.4035387832
gi|77457158|ref|YP,-21.7270936918,8.52621809958,158.573800075,23.3401584265
gi|17937718|ref|NP,-13.066822943,23.6556851652,118.915188731,27.0246795071
gi|43774910|gb|EAF,-1.14799260514,-9.54811093304,-96.8559014155,9.61687628136
gi|77457101|ref|YP,-17.0977094369,17.5823531187,134.199360437,24.5249018179
gi|92115373|ref|YP,-10.38670856,20.2627897681,117.13968281,22.7698125574
gi|75176504|ref|ZP,-8.22995540024,20.6144301452,111.763502184,22.1965514462
gi|88793399|ref|ZP,-22.9398130061,11.8162550705,152.747088359,25.8042419894
gi|110592741|ref|Z,-23.268552324,16.489165332,144.676861104,28.5187324508
gi|21244095|ref|NP,-21.2083413736,16.6796940001,141.816061945,26.9815851231
gi|84359492|ref|ZP,-19.0715673557,27.4301804785,124.809992067,33.4086737613
gi|75676238|ref|YP,-20.3142192991,19.102493219,136.760799621,27.8849915351
gi|44184538|gb|EAH,8.91617999687,-3.18987736514,-19.6853189798,9.4696136849
gi|90023251|ref|YP,-21.0469751379,14.8434303602,144.80650325,25.7546614677
gi|50083770|ref|YP,-17.5591599788,18.5003863636,133.504804899,25.5066343284
gi|26246096|ref|NP,-8.59350040961,22.6835514105,110.748832752,24.2567877898
gi|84358246|ref|ZP,-15.7078831531,17.3169057059,132.210660196,23.3797522737
gi|89074408|ref|ZP,-23.4262618994,5.57921647567,166.603949253,24.081474271
gi|83592181|ref|YP,-17.1907099268,13.2505303792,142.37510831,21.7047705152
gi|16128773|ref|NP,-10.3223018346,29.6999234926,109.165056243,31.4425725829
gi|70733632|ref|YP,-12.8156051189,19.2683538884,123.628338326,23.1410716288
gi|70729759|ref|YP,-20.4661545757,14.5779697601,144.537863182,25.1272896557
gi|70728797|ref|YP,-14.7963203048,19.6162976482,127.026779444,24.5709224081
gi|23011372|ref|ZP,-13.7579329329,24.7636085034,119.055262954,28.3287314347
gi|17229650|ref|NP,-18.2162194055,9.98253986987,151.277133813,20.7721388326
gi|70730679|ref|YP,-17.5728857345,10.4384079532,149.289413867,20.439341321
gi|2791554|emb|CAA,-12.5173260471,19.2815677623,122.991073477,22.9883080444
gi|73542563|ref|YP,-16.5314327778,16.1255309628,135.712107335,23.0937441425
gi|42963161|gb|EAB,1.98350391375,6.09694878456,71.9788784287,6.41147972448
gi|17228596|ref|NP,-20.9367908958,15.0924033332,144.213839699,25.8094914981
