Seq id,X,Y,Direction,Magnitude
gi|94498240|ref|ZP,3.49016098579,-6.24434733745,-60.7978101078,7.15353740309
gi|88711415|ref|ZP,1.49966988255,-19.9412838841,-85.6992079764,19.997595173
gi|88795949|ref|ZP,14.5214640397,-24.6792244708,-59.5270852563,28.6345427471
gi|58582083|ref|YP,14.5828735984,-21.1152732256,-55.3698181724,25.6615464417
gi|91203160|emb|CA,9.03163808841,-21.5615406868,-67.2723007368,23.3767089931
gi|88801849|ref|ZP,7.3037499283,-13.773847429,-62.0646854328,15.5904982605
gi|58580739|ref|YP,4.9037522374,-18.69884339,-75.3051532236,19.3311543921
gi|83860045|ref|ZP,11.229441516,-16.8497390788,-56.3186856774,20.2488040088
gi|21232782|ref|NP,3.42574092403,-19.5134609725,-80.0427456876,19.811886836
gi|71279124|ref|YP,3.02296878043,-22.0420538124,-82.1908581725,22.2483814359
gi|43953114|gb|EAG,12.0137221764,-18.6087477074,-57.1538985821,22.1498309648
gi|88812164|ref|ZP,13.7172369041,-27.7362633457,-63.6848580038,30.9428972894
gi|77165879|ref|YP,6.45512451387,-17.9967860403,-70.2679998701,19.1194388064
gi|90589005|ref|ZP,11.7529682694,-18.0212236249,-56.8886662033,21.5150357676
gi|71901157|ref|ZP,-0.834217207681,-20.286628032,-92.354763497,20.3037729316
gi|103486025|ref|Y,1.6899440811,-12.2823025005,-82.1657615269,12.3980186204
gi|91218103|ref|ZP,10.1500457831,-21.1458049272,-64.3588633268,23.4556708584
gi|88937690|ref|ZP,-1.31772016091,-17.3794045678,-94.3359151312,17.4292882687
gi|115375151|ref|Z,9.57091284494,-10.9230147956,-48.7746607625,14.5229000172
gi|88947940|ref|ZP,10.308080166,-25.3842208005,-67.8988045418,27.3973572149
gi|85375201|ref|YP,3.85970852092,-8.2464745552,-64.918363121,9.10503665319
gi|87310229|ref|ZP,-3.32581370528,-18.7672652668,-100.049257502,19.0596768702
gi|15598476|ref|NP,-4.359477221,-3.13431637633,-144.285145028,5.36926259251
gi|110601081|ref|Z,7.52937169533,-18.0150887103,-67.3176049467,19.525236474
gi|113936433|ref|Z,12.0341679079,-16.5631680485,-53.9992711447,20.4733908535
gi|82703791|ref|YP,6.78393350609,-26.4298194737,-75.6042521841,27.2865738272
gi|113949459|ref|Z,4.74075225815,-22.4470491192,-78.0745435315,22.9422044741
gi|91201116|emb|CA,10.6606018928,-22.7744625444,-64.9159619624,25.1460648393
gi|82702027|ref|YP,0.890889612922,-21.876157456,-87.6679622702,21.8942903366
gi|109900181|ref|Y,-3.05498964607,-28.0240723528,-96.2214205872,28.1900974275
template_2O4V,-1.80328923536,-5.15869362211,-109.267745468,5.46479386191
gi|114568946|ref|Y,-5.4790934297,-22.4480230419,-103.716514622,23.1070163219
gi|32470776|ref|NP,-8.32859815653,-19.9316824657,-112.677965061,21.6017942117
gi|58580727|ref|YP,2.45784296584,-19.6920752895,-82.8854876078,19.8448688897
gi|58039385|ref|YP,8.52862662065,-6.98886621888,-39.3332388875,11.0264102527
gi|85715104|ref|ZP,3.75457425608,-5.3654257043,-55.0167511582,6.54863503585
gi|32472750|ref|NP,3.94366602695,-16.4540777913,-76.5217599523,16.9200820829
gi|94413151|ref|ZP,6.05039392794,-28.2178975393,-77.8980570791,28.8592620873
gi|90023515|ref|YP,0.595930015788,-21.4948981788,-88.4119240582,21.5031574495
gi|43951226|gb|EAG,17.3610750789,-5.4066961855,-17.2979646486,18.1834895314
gi|87311945|ref|ZP,-13.5347362912,-19.6359883136,-124.577802484,23.8487132467
gi|83956305|ref|ZP,-10.8166406596,-6.79167445553,-147.875646199,12.7721007304
gi|68546973|ref|ZP,9.1905575335,-23.529046186,-68.664146656,25.2602922034
gi|71275674|ref|ZP,-2.91574447231,-20.8767453755,-97.9507678042,21.0793753063
